Year,Propane 2021 $/MMBtu,Distillate Fuel Oil 2021 $/MMBtu,Natural Gas 2021 $/MMBtu,Electricity 2021 $/MMBtu
2020,24.800161,22.290792,11.837415,45.574612
2021,24.800161,22.290792,11.837415,45.574612
2022,26.815603,22.66334,12.075147,45.728249
2023,26.582264,22.474455,11.492553,47.184486
2024,26.634615,23.934113,10.938684,46.714951
2025,26.568785,24.560904,10.591162,47.142601
2026,26.667143,25.208893,10.336064,47.621174
2027,27.031116,25.935665,10.180105,48.306549
2028,27.635588,26.118204,10.186859,48.670738
2029,28.207077,26.24337,10.281545,48.673386
2030,28.798132,26.206944,10.344976,48.461147
2031,29.366644,26.47576,10.377602,48.939796
2032,29.876589,26.574358,10.340171,49.016712
2033,30.351509,26.638689,10.469646,50.089474
2034,30.720798,26.685608,10.481993,50.924255
2035,31.000267,26.765736,10.336766,50.398048
2036,31.267303,26.940296,10.282892,50.592518
2037,31.556944,27.161945,10.331261,50.728271
2038,31.840885,27.293186,10.320195,50.215176
2039,32.051296,27.367819,10.338939,51.17894
2040,32.391743,27.59799,10.305084,51.479855
2041,32.687809,27.699972,10.225379,51.171833
2042,32.847279,27.714916,10.18326,52.050785
2043,33.080154,27.945862,10.14345,52.562778
2044,33.363476,28.208193,10.089199,51.65411
2045,33.522541,28.311811,10.102862,52.373077
2046,33.693516,28.520437,10.0826,52.446014
2047,33.833118,28.553669,10.077167,51.481632
2048,33.93079,28.480774,10.045909,52.185146
2049,33.961739,28.471148,10.098876,52.161472
2050,33.959316,28.428076,10.056294,51.000565
