Heat_Fuel_Efficiency,Cost,Estimate
"Electricity_ASHP, SEER 10, 6.2 HSPF",3100,*
"Electricity_ASHP, SEER 13, 7.7 HSPF",3400,
"Electricity_ASHP, SEER 15, 8.5 HSPF",3700,
"Electricity_ASHP, SEER 16, 9.0 HSPF",4000,
"Electricity_ASHP, SEER 18, 9.3 HSPF",4200,
"Electricity_ASHP, SEER 22, 10 HSPF",4600,
"Electricity_Electric Baseboard, 100% Efficiency",2000,*
"Electricity_Electric Boiler, 100% AFUE",3100,
"Electricity_Electric Furnace, 100% AFUE",1600,
"Electricity_Electric Wall Furnace, 100% AFUE",1500,*
"Electricity_MSHP, SEER 14.5, 8.2 HSPF",1600,*
"Electricity_MSHP, SEER 17, 9.5 HSPF",1800,
"Electricity_MSHP, SEER 25, 12.7 HSPF",2000,*
Electricity_Shared Heating,1600,
"Fuel Oil_Fuel Boiler, 76% AFUE",3000,*
"Fuel Oil_Fuel Boiler, 80% AFUE",3100,
"Fuel Oil_Fuel Boiler, 90% AFUE",3300,
"Fuel Oil_Fuel Furnace, 76% AFUE",1500,
"Fuel Oil_Fuel Furnace, 80% AFUE",1800,
"Fuel Oil_Fuel Furnace, 92.5% AFUE",3600,
"Fuel Oil_Fuel Wall/Floor Furnace, 60% AFUE",1200,*
"Fuel Oil_Fuel Wall/Floor Furnace, 68% AFUE",1500,*
Fuel Oil_Shared Heating,1800,*
"Natural Gas_Fuel Boiler, 76% AFUE",3000,*
"Natural Gas_Fuel Boiler, 80% AFUE",3100,
"Natural Gas_Fuel Boiler, 90% AFUE",3300,
"Natural Gas_Fuel Boiler, 96% AFUE",3500,*
"Natural Gas_Fuel Furnace, 60% AFUE",1600,*
"Natural Gas_Fuel Furnace, 76% AFUE",1800,
"Natural Gas_Fuel Furnace, 80% AFUE",1900,
"Natural Gas_Fuel Furnace, 92.5% AFUE",2300,
"Natural Gas_Fuel Wall/Floor Furnace, 60% AFUE",1100,*
"Natural Gas_Fuel Wall/Floor Furnace, 68% AFUE",1400,*
Natural Gas_Shared Heating,1600,*
None_None,0,*
Other Fuel_Other,0,*
Other Fuel_Shared Heating,0,*
"Propane_Fuel Boiler, 76% AFUE",2900,*
"Propane_Fuel Boiler, 80% AFUE",3100,
"Propane_Fuel Boiler, 90% AFUE",3300,*
"Propane_Fuel Furnace, 60% AFUE",1400,*
"Propane_Fuel Furnace, 76% AFUE",1500,
"Propane_Fuel Furnace, 80% AFUE",1800,
"Propane_Fuel Furnace, 92.5% AFUE",3600,*
"Propane_Fuel Wall/Floor Furnace, 60% AFUE",1100,*
"Propane_Fuel Wall/Floor Furnace, 68% AFUE",1400,*
Propane_Shared Heating,1600,*
