Dependency=Location Heating Region	Dependency=Vintage	thm_nrm	Count	Weight	thm_nrm_per_home	thm_nrm_total
H1	<1950	17845.6053933	46	114539.16	387.947943333	44435231.553
H1	1950s	4184.5029769	18	42069.21	232.472387606	9779929.69338
H1	1960s	11049.6902897	27	90734.66	409.247788507	37132958.946
H1	1970s	9363.46908193	34	137150.53	275.396149469	37770727.8596
H1	1980s	5979.9277987	17	69185.98	351.760458747	24336892.0637
H1	1990s	14950.0829007	34	96770.65	439.708320609	42550859.9958
H1	2000s	16752.0172648	31	90407.55	540.387653703	48855123.8216
H2	<1950	682.4768396	2	5690.04	341.2384198	1941660.2582
H2	1950s	1516.7787365	5	32136.94	303.3557473	9748925.44964
H2	1960s	0.0	3	3481.8	0.0	0.0
H2	1970s	3748.5471143	9	28346.42	416.505234922	11806432.3213
H2	1980s	434.3621862	2	5710.81	217.1810931	1240279.95829
H2	1990s	5254.6337241	10	32047.27	525.46337241	16839666.5707
H2	2000s	4610.492864	7	28856.21	658.641837714	19005907.1839
H3	<1950	922.3158242	2	4261.76	461.1579121	1965344.34347
H3	1960s	907.8430464	1	1144.67	907.8430464	1039180.69992
H3	1970s	0.0	1	2130.88	0.0	0.0
H3	1980s	594.2813135	1	1144.67	594.2813135	680255.991124
H3	1990s	2737.6448416	4	7537.31	684.4112104	5158619.46026
H3	2000s	7527.4803753	9	12370.03	836.386708367	10346128.6741
