Location,Vintage,"Clear, Double, Metal, Air","Clear, Single, Metal","Clear, Single, Non-metal","Low-E, Triple, Non-metal, Air, L-Gain","Clear, Double, Non-metal, Air","Clear, Double, Thermal-Break, Air","Low-E, Double, Non-metal, Air, M-Gain",
H1C1 OR,pre-1950,0.01786,0.01786,0.05357,0.03571,0.375,0.14286,0.35714,
H1C1 OR,1950s,0.05714,0,0,0,0.68571,0.17143,0.08571,
H1C1 OR,1960s,0.09524,0.12698,0.01587,0,0.28571,0.07937,0.39683,
H1C1 OR,1970s,0.17188,0.0625,0,0,0.32813,0.1875,0.25,
H1C1 OR,1980s,0.41379,0,0,0,0.27586,0.03448,0.27586,
H1C1 OR,1990s,0,0,0,0,0.50794,0,0.49206,
H1C1 OR,2000s,0,0,0,0,0.2619,0,0.7381,
H1C1 OR,2010s,0,0,0,0,0.0,0,1.0,
H1C1 WA,pre-1950,0.08434,0.0241,0.23293,0,0.42169,0.08032,0.15663,
H1C1 WA,1950s,0.20455,0.06818,0.04545,0,0.48864,0.03409,0.15909,
H1C1 WA,1960s,0.14184,0.07801,0.03546,0.01418,0.34043,0.0922,0.29787,
H1C1 WA,1970s,0.26174,0.02013,0,0.01342,0.42953,0.04698,0.22819,
H1C1 WA,1980s,0.32,0,0,0.008,0.496,0,0.176,
H1C1 WA,1990s,0.0381,0,0.0381,0,0.45714,0.00952,0.45714,
H1C1 WA,2000s,0.04167,0,0,0,0.41667,0,0.54167,
H1C1 WA,2010s,0,0,0,0,0.0,0,1.0,
H1C2,pre-1950,0,0,0.08571,0,0.32381,0.3619,0.22857,
H1C2,1950s,0,0,0.14286,0,0.38095,0,0.47619,
H1C2,1960s,0,0.02985,0.01493,0.0597,0.32836,0.01493,0.55224,
H1C2,1970s,0.24444,0.06667,0,0,0.06667,0.11111,0.51111,
H1C2,1980s,0.16279,0,0,0,0.46512,0.02326,0.34884,
H1C2,1990s,0,0,0,0,0.59259,0,0.40741,
H1C2,2000s,0,0,0,0,0.3125,0,0.6875,
H1C2,2010s,0,0,0,0,0,0,0,
H1C3,pre-1950,0.1,0.06667,0.06667,0,0.33333,0.3,0.13333,
H1C3,1950s,0.03846,0,0,0,0.15385,0.19231,0.61538,
H1C3,1960s,0.05882,0,0,0,0.58824,0,0.35294,
H1C3,1970s,0.33333,0,0,0,0.26667,0.08889,0.31111,
H1C3,1980s,0.11111,0,0,0,0.66667,0,0.22222,
H1C3,1990s,0,0,0,0,0.42857,0,0.57143,
H1C3,2000s,0,0,0,0,0.75806,0,0.24194,
H1C3,2010s,0,0,0,0,0,0,0,
H2,pre-1950,0.07792,0.01299,0.09091,0,0.25974,0.41558,0.14286,
H2,1950s,0.07547,0,0.03774,0,0.49057,0.15094,0.24528,
H2,1960s,0.17857,0,0.03571,0,0.67857,0.03571,0.07143,
H2,1970s,0.21429,0,0.01429,0,0.38571,0.01429,0.37143,
H2,1980s,0.28571,0.09524,0,0,0.33333,0.04762,0.2381,
H2,1990s,0,0,0,0.06897,0.5977,0.02299,0.31034,
H2,2000s,0,0,0,0.03279,0.62295,0,0.34426,
H2,2010s,0,0,0,0,0.2,0,0.8,
H3,pre-1950,0.06667,0.02222,0.04444,0.04444,0.28889,0.2,0.33333,
H3,1950s,0.15789,0,0.05263,0,0.47368,0.05263,0.26316,
H3,1960s,0.07692,0,0,0,0.61538,0.07692,0.23077,
H3,1970s,0.02941,0,0,0.05882,0.38235,0.05882,0.47059,
H3,1980s,0,0,0,0,0.40909,0.09091,0.5,
H3,1990s,0,0,0,0,0.375,0,0.625,
H3,2000s,0,0,0,0,0.41667,0,0.58333,
H3,2010s,0,0,0,0,0.75,0,0.25,
