"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",48647.8083770401,1408.90437924872,34.5288218942019,3.11347660966953e-243
"vintage1960s",-1227.38993642355,1904.24295889012,-0.644555323517612,0.519234366600507
"vintage1970s",3227.15679070046,1848.23316390248,1.74607666052611,0.0808370347859308
"vintage1980s",7685.16206145559,1880.95414756856,4.0857785243675,4.43696837092453e-05
"vintage1990s",8919.22271265976,1843.01987851337,4.8394609394307,1.32694084623197e-06
"vintage2000s",11880.4156982634,1834.57351184855,6.47584608713362,9.99994764500105e-11
"vintage<1950",-2492.3112677752,1736.34679122905,-1.43537643537847,0.151219990445247
"size1500-2499",19677.2786739415,1154.61431462724,17.0422957906028,5.69504473404176e-64
"size2500-3499",35650.8159776329,1494.55980213769,23.8537233014303,1.92579305766564e-121
"size3500+",51280.9549967759,1717.20665237702,29.8630074171859,1.25780729154218e-185
