Dependency=Location Region	Dependency=Vintage	thmoth_nrm	Count	Weight	thmoth_nrm_per_home	thmoth_nrm_total
CR01	1950s	0.0	3	32631.672774	0.0	0.0
CR01	<1950	0.0	1	9007.728757	0.0	0.0
CR01	1960s	0.0	2	14273.766876	0.0	0.0
CR01	1980s	329.567738271	4	40366.57486	82.3919345678	3325880.19459
CR01	2000s	0.0	5	55263.474804	0.0	0.0
CR01	1970s	399.401354196	3	29165.371626	133.133784732	3882896.30769
CR01	1990s	0.0	3	21410.650469	0.0	0.0
CR02	1950s	14542.2287227	100	650287.622969	145.422287227	94566313.4878
CR02	<1950	37509.9828861	176	1134613.30617	213.124902762	241814350.549
CR02	1960s	6812.22300537	71	457502.445939	95.9468028925	43895897.0034
CR02	1980s	13594.7732261	77	464232.827422	176.555496442	81962857.3104
CR02	2000s	10578.4282643	75	455096.846444	141.045710191	64189457.9124
CR02	1970s	19871.7788021	106	650638.983355	187.469611341	121975037.333
CR02	1990s	16933.281548	82	498247.54494	206.503433512	102889828.769
CR03	1950s	69461.2533528	98	561211.587386	708.788299518	397780206.693
CR03	<1950	116382.032106	170	937366.234335	684.600188857	641721101.054
CR03	1960s	32475.6408384	57	323759.690159	569.748084884	184461463.431
CR03	1980s	34906.4242132	58	355737.522029	601.834900228	214095256.078
CR03	2000s	45887.4109044	47	280569.003365	976.327891582	273927343.499
CR03	1970s	32929.8782971	59	365100.395655	558.133530459	203774772.799
CR03	1990s	28024.3256091	46	265373.503345	609.224469762	161672031.864
CR04	1950s	4692.4548608	119	1885874.16873	39.4323937882	74364532.8564
CR04	<1950	13430.4165118	201	3175912.2546	66.8179925961	212208081.514
CR04	1960s	2513.8825025	85	1355079.13377	29.5750882648	40076584.987
CR04	1980s	3014.94185393	56	941210.55709	53.8382473917	50673126.8203
CR04	2000s	10449.9053042	61	1030832.79033	171.30992302	176591885.958
CR04	1970s	6595.70744863	73	1169051.06422	90.3521568305	105626285.097
CR04	1990s	3998.70846056	71	1144781.83261	56.3198374727	64473926.7542
CR05	1950s	547.438623988	26	292676.927279	21.0553316919	6162409.78241
CR05	<1950	535.19	32	403337.840893	16.7246875	6745699.34586
CR05	1960s	0.0	15	135881.628159	0.0	0.0
CR05	1980s	1736.28320795	51	526527.040664	34.0447687833	17925491.3576
CR05	2000s	1524.51008644	42	390742.00908	36.2978592009	14183098.4295
CR05	1970s	9900.87911202	86	573854.063213	115.126501303	66065810.556
CR05	1990s	7967.13787081	48	478150.062165	165.982038975	79364322.2543
CR06	1950s	2638.32071959	22	227709.555447	119.923669072	27307765.372
CR06	<1950	1678.682387	36	377497.407043	46.6300663055	17602729.1206
CR06	1960s	1931.82188845	35	363527.406815	55.1949110987	20064862.9011
CR06	1980s	346.056130696	31	305551.552755	11.1631009902	3410902.84112
CR06	2000s	1694.77787108	43	439633.07109	39.4134388623	17327451.1692
CR06	1970s	504.316000477	20	198694.588124	25.2158000239	5010242.99996
CR06	1990s	2644.24729957	39	417114.294944	67.8012128094	28280855.0773
CR07	1950s	44966.4035752	159	1848701.76982	282.807569656	522826854.541
CR07	<1950	58873.7755732	172	1883019.32456	342.289392867	644537541.362
CR07	1960s	23150.952845	98	1093304.73334	236.234212704	258275982.927
CR07	1980s	12332.2378841	53	695937.279619	232.683733662	161933284.616
CR07	2000s	15306.9510528	55	769168.165752	278.30820096	214065808.446
CR07	1970s	19272.6593226	70	910003.095476	275.323704609	250545423.452
CR07	1990s	9818.68045557	47	563774.054984	208.908094799	117776963.724
CR08	1950s	5150.96176809	153	998366.186576	33.6664167849	33611412.1412
CR08	<1950	25166.6115804	225	1605088.65101	111.851607024	179531745.031
CR08	1960s	11109.5260005	178	1235776.18569	62.4130674186	77128582.3916
CR08	1980s	11201.0081059	153	1164442.71292	73.2092033069	85247923.3094
CR08	2000s	11231.9768806	195	1360231.69385	57.5998814388	78349184.295
CR08	1970s	15230.3822725	205	1294267.80474	74.2945476709	96157041.1181
CR08	1990s	18426.0142673	197	1572319.77061	93.5330673469	147063890.995
CR09	1950s	6326.53303725	233	2241670.80412	27.1525023058	60866971.6778
CR09	<1950	15517.2301139	187	1975861.50459	82.9798401813	163956671.871
CR09	1960s	6777.89845877	229	2348269.76917	29.5978098636	69503642.1362
CR09	1980s	12014.6320508	344	3261807.20869	34.9262559617	113922713.468
CR09	2000s	12784.0456826	495	4832219.28946	25.8263549144	124798610.394
CR09	1970s	7493.27388189	308	2906300.78009	24.3288113048	70706843.274
CR09	1990s	11632.2158797	382	3756866.94791	30.4508269103	114399705.156
CR10	1950s	0.0	14	170307.60276	0.0	0.0
CR10	<1950	153.304325161	6	77936.272592	25.5507208602	1991327.94589
CR10	1960s	0.0	14	142118.273691	0.0	0.0
CR10	1980s	1317.18479678	42	498876.02434	31.3615427805	15645521.7795
CR10	2000s	976.776752571	52	552280.192386	18.7841683187	10374124.0929
CR10	1970s	2164.5106047	46	495644.347124	47.0545783631	23322335.772
CR10	1990s	4561.51957193	69	761608.608491	66.1089793033	50349167.736
CR11	1950s	686.333209055	190	1407645.84141	3.61228004766	5084810.98711
CR11	<1950	1355.68201428	134	1015270.92889	10.1170299573	10271526.4024
CR11	1960s	1334.54232556	158	1182257.67041	8.44647041492	9985904.43597
CR11	1980s	4215.59434197	121	904026.366109	34.8396226609	31495937.4708
CR11	2000s	4683.18097947	83	615735.737318	56.4238672226	34742191.4866
CR11	1970s	5395.12107839	148	1103939.74335	36.4535208	40242490.3963
CR11	1990s	5516.38690889	108	813930.61364	51.0776565638	41573668.3503
CR12	1950s	0.0	3	23854.561843	0.0	0.0
