Dependency=Geometry Building Number Units SFA	Option=Left	Option=Middle	Option=Right	Option=None
None	0	0	0	1
2	0.5	0	0.5	0
3	0.333333	0.333333	0.333333	0
4	0.25	0.5	0.25	0
5	0.2	0.6	0.2	0
6	0.166667	0.666667	0.166667	0
7	0.142857	0.714286	0.142857	0
8	0.125	0.75	0.125	0
9	0.111111	0.777778	0.111111	0
10	0.1	0.8	0.1	0
12	0.083333	0.833333	0.083333	0
15	0.066667	0.866667	0.066667	0
16	0.0625	0.875	0.0625	0
20	0.05	0.9	0.05	0
24	0.041667	0.916667	0.041667	0
30	0.033333	0.933333	0.033333	0
36	0.027778	0.944444	0.027778	0
50	0.02	0.96	0.02	0
60	0.016667	0.966667	0.016667	0
90	0.011111	0.977778	0.011111	0
144	0.006944	0.986111	0.006944	0
# Source: Calculated directly from other distributions
