Dependency=HVAC Cooling Type	Dependency=HVAC Has Shared System	Dependency=Vintage	Option=AC, SEER 8	Option=AC, SEER 10	Option=AC, SEER 13	Option=AC, SEER 15	Option=Heat Pump	Option=None	Option=Room AC, EER 8.5	Option=Room AC, EER 9.8	Option=Room AC, EER 10.7	Option=Room AC, EER 12.0	Option=Shared Cooling	source_count	source_weight	sampling_probability
Central AC	Cooling Only	1940s	0	0	0	0	0	0	0	0	0	0	1	3	20096.3	0.000133228
Central AC	Heating Only	1940s	0	0.498442	0.41294	0.088619	0	0	0	0	0	0	0	2	25052.1	9.4262e-05
Central AC	Heating and Cooling	1940s	0	0	0	0	0	0	0	0	0	0	1	3	19471.5	0.000650971
Central AC	None	1940s	0.030449	0.261849	0.508199	0.199504	0	0	0	0	0	0	0	188	1.85178e+06	0.0217721
Heat Pump	Cooling Only	1940s	0	0	0	0	0	0	0	0	0	0	1	0	0	1.42546e-05
Heat Pump	Heating Only	1940s	0	0	0	0	1	0	0	0	0	0	0	0	0	6.85066e-06
Heat Pump	Heating and Cooling	1940s	0	0	0	0	0	0	0	0	0	0	1	1	7872.64	6.32465e-05
Heat Pump	None	1940s	0	0	0	0	1	0	0	0	0	0	0	21	231761	0.00106198
None	Cooling Only	1940s	0	0	0	0	0	0	0	0	0	0	1	0	0	0
None	Heating Only	1940s	0	0	0	0	0	1	0	0	0	0	0	24	206980	0.00905796
None	Heating and Cooling	1940s	0	0	0	0	0	0	0	0	0	0	1	0	0	0
None	None	1940s	0	0	0	0	0	1	0	0	0	0	0	110	967848	0.0307419
Room AC	Cooling Only	1940s	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Room AC	Heating Only	1940s	0	0	0	0	0	0	0.049414	0.233254	0.526762	0.19057	0	44	452738	0.00795359
Room AC	Heating and Cooling	1940s	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Room AC	None	1940s	0	0	0	0	0	0	0.054012	0.277626	0.487469	0.180892	0	147	1.37282e+06	0.0249063
Central AC	Cooling Only	1950s	0	0	0	0	0	0	0	0	0	0	1	2	12811.2	0.000186865
Central AC	Heating Only	1950s	0.077552	0.22837	0.447146	0.246933	0	0	0	0	0	0	0	3	31062.9	0.000855514
Central AC	Heating and Cooling	1950s	0	0	0	0	0	0	0	0	0	0	1	8	86537.9	0.00385512
Central AC	None	1950s	0.032994	0.246097	0.504403	0.216506	0	0	0	0	0	0	0	636	5.7748e+06	0.073257
Heat Pump	Cooling Only	1950s	0	0	0	0	0	0	0	0	0	0	1	0	0	1.07045e-05
Heat Pump	Heating Only	1950s	0	0	0	0	1	0	0	0	0	0	0	0	0	7.80608e-05
Heat Pump	Heating and Cooling	1950s	0	0	0	0	0	0	0	0	0	0	1	2	17394	0.000395135
Heat Pump	None	1950s	0	0	0	0	1	0	0	0	0	0	0	57	538538	0.00414264
None	Cooling Only	1950s	0	0	0	0	0	0	0	0	0	0	1	0	0	0
None	Heating Only	1950s	0	0	0	0	0	1	0	0	0	0	0	20	213469	0.00923904
None	Heating and Cooling	1950s	0	0	0	0	0	0	0	0	0	0	1	0	0	0
None	None	1950s	0	0	0	0	0	1	0	0	0	0	0	291	2.62476e+06	0.0457257
Room AC	Cooling Only	1950s	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Room AC	Heating Only	1950s	0	0	0	0	0	0	0.062048	0.293201	0.483151	0.161601	0	65	688917	0.00623685
Room AC	Heating and Cooling	1950s	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Room AC	None	1950s	0	0	0	0	0	0	0.066706	0.299076	0.452643	0.181576	0	357	3.46252e+06	0.0295411
Central AC	Cooling Only	1960s	0	0	0	0	0	0	0	0	0	0	1	12	120604	0.00251104
Central AC	Heating Only	1960s	0.117786	0.34685	0.35637	0.178993	0	0	0	0	0	0	0	8	82341	0.00232919
Central AC	Heating and Cooling	1960s	0	0	0	0	0	0	0	0	0	0	1	20	224548	0.0058765
Central AC	None	1960s	0.030766	0.224836	0.521047	0.223351	0	0	0	0	0	0	0	648	5.96466e+06	0.0529389
Heat Pump	Cooling Only	1960s	0	0	0	0	0	0	0	0	0	0	1	0	0	0.00051714
Heat Pump	Heating Only	1960s	0	0	0	0	1	0	0	0	0	0	0	1	6565.87	0.000541945
Heat Pump	Heating and Cooling	1960s	0	0	0	0	0	0	0	0	0	0	1	1	8426.01	0.00110021
Heat Pump	None	1960s	0	0	0	0	1	0	0	0	0	0	0	81	778149	0.00707034
None	Cooling Only	1960s	0	0	0	0	0	0	0	0	0	0	1	0	0	0
None	Heating Only	1960s	0	0	0	0	0	1	0	0	0	0	0	35	348835	0.0137131
None	Heating and Cooling	1960s	0	0	0	0	0	0	0	0	0	0	1	0	0	0
None	None	1960s	0	0	0	0	0	1	0	0	0	0	0	268	2.41152e+06	0.0341596
Room AC	Cooling Only	1960s	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Room AC	Heating Only	1960s	0	0	0	0	0	0	0.05346	0.299573	0.450777	0.196191	0	77	790990	0.0052448
Room AC	Heating and Cooling	1960s	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Room AC	None	1960s	0	0	0	0	0	0	0.079981	0.326709	0.441062	0.152248	0	256	2.45307e+06	0.0160978
Central AC	Cooling Only	1970s	0	0	0	0	0	0	0	0	0	0	1	16	118385	0.00190994
Central AC	Heating Only	1970s	0	0.092843	0.614492	0.292665	0	0	0	0	0	0	0	11	107022	0.00114482
Central AC	Heating and Cooling	1970s	0	0	0	0	0	0	0	0	0	0	1	25	298277	0.00516048
Central AC	None	1970s	0.048766	0.258062	0.481955	0.211217	0	0	0	0	0	0	0	1026	9.23078e+06	0.0595999
Heat Pump	Cooling Only	1970s	0	0	0	0	0	0	0	0	0	0	1	2	17027.6	0.000213124
Heat Pump	Heating Only	1970s	0	0	0	0	1	0	0	0	0	0	0	1	6297.04	0.000111144
Heat Pump	Heating and Cooling	1970s	0	0	0	0	0	0	0	0	0	0	1	2	18913.7	0.000618273
Heat Pump	None	1970s	0	0	0	0	1	0	0	0	0	0	0	164	1.62727e+06	0.00595734
None	Cooling Only	1970s	0	0	0	0	0	0	0	0	0	0	1	0	0	0
None	Heating Only	1970s	0	0	0	0	0	1	0	0	0	0	0	34	269516	0.0115054
None	Heating and Cooling	1970s	0	0	0	0	0	0	0	0	0	0	1	0	0	0
None	None	1970s	0	0	0	0	0	1	0	0	0	0	0	327	2.76613e+06	0.0349377
Room AC	Cooling Only	1970s	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Room AC	Heating Only	1970s	0	0	0	0	0	0	0.056814	0.233442	0.528725	0.181019	0	71	645169	0.00418066
Room AC	Heating and Cooling	1970s	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Room AC	None	1970s	0	0	0	0	0	0	0.083449	0.294579	0.446344	0.175628	0	308	2.8916e+06	0.0151376
Central AC	Cooling Only	1980s	0	0	0	0	0	0	0	0	0	0	1	10	76819.1	0.00143732
Central AC	Heating Only	1980s	0.013268	0.163597	0.581957	0.241178	0	0	0	0	0	0	0	11	123182	0.00130708
Central AC	Heating and Cooling	1980s	0	0	0	0	0	0	0	0	0	0	1	21	198679	0.00314683
Central AC	None	1980s	0.066372	0.279885	0.454284	0.199459	0	0	0	0	0	0	0	990	8.85342e+06	0.0495237
