Dependency=HVAC Heating Efficiency	Option=Yes	Option=No	sampling_probability
ASHP, SEER 10, 6.2 HSPF	0	1	0.00304
ASHP, SEER 13, 7.7 HSPF	0	1	0.0309617
ASHP, SEER 15, 8.5 HSPF	0	1	0.00792994
Electric Baseboard, 100% Efficiency	1	0	0.0754441
Electric Boiler, 100% AFUE	0	1	0.0012833
Electric Furnace, 100% AFUE	0	1	0.119645
Electric Wall Furnace, 100% AFUE	0	1	0.00153582
Fuel Boiler, 76% AFUE	0	1	0.0110419
Fuel Boiler, 80% AFUE	0	1	0.0745352
Fuel Boiler, 90% AFUE	0	1	0.00019
Fuel Furnace, 60% AFUE	0	1	0.00387445
Fuel Furnace, 76% AFUE	0	1	0.0320883
Fuel Furnace, 80% AFUE	0	1	0.215448
Fuel Furnace, 92.5% AFUE	0	1	0.10413
Fuel Wall/Floor Furnace, 60% AFUE	0	1	0.030834
Fuel Wall/Floor Furnace, 68% AFUE	0	1	0.0618653
MSHP, SEER 14.5, 8.2 HSPF	0	1	0
MSHP, SEER 29.3, 14 HSPF	0	1	0
None	0	1	0.0673902
Other	0	1	0.00376587
Shared Heating	0	1	0.154997
Void	0	1	0
# Copied: This characteristic was copied from project_national.
