Dependency=Heating Fuel	Dependency=Vintage	Option=Ducted Heat Pump	Option=Ducted Heating	Option=Non-Ducted Heat Pump	Option=Non-Ducted Heating	Option=None	source_count	source_weight	sampling_probability
Electricity	1940s	0.05621	0.345846	0	0.597944	0	16	106988	0.0215776
Fuel Oil	1940s	0	0.217452	0	0.782548	0	41	71956.8	2.07434e-05
Natural Gas	1940s	0	0.217452	0	0.782548	0	41	71956.8	0.072565
None	1940s	0	0	0	0	1	10	65935.2	0.00687788
Other Fuel	1940s	0	0.217452	0	0.782548	0	41	71956.8	0.000515222
Propane	1940s	0	0.217452	0	0.782548	0	41	71956.8	0.00100094
Electricity	1950s	0.120104	0.440323	0	0.439573	0	47	323203	0.0386838
Fuel Oil	1950s	0	0.656274	0	0.343726	0	170	318608	0.000141635
Natural Gas	1950s	0	0.656274	0	0.343726	0	170	318608	0.128934
None	1950s	0	0	0	0	1	41	284083	0.00968006
Other Fuel	1950s	0	0.656274	0	0.343726	0	170	318608	0.00067099
Propane	1950s	0	0.656274	0	0.343726	0	170	318608	0.0015765
Electricity	1960s	0.218908	0.401581	0	0.379511	0	53	392575	0.0412995
Fuel Oil	1960s	0	0.668161	0	0.331839	0	131	241826	9.18664e-05
Natural Gas	1960s	0	0.668161	0	0.331839	0	131	241826	0.0860022
None	1960s	0	0	0	0	1	39	256469	0.00882585
Other Fuel	1960s	0	0.668161	0	0.331839	0	131	241826	0.000449071
Propane	1960s	0	0.668161	0	0.331839	0	131	241826	0.00139999
Electricity	1970s	0.126135	0.533927	0	0.339938	0	75	525278	0.0545507
Fuel Oil	1970s	0	0.759506	0	0.240494	0	197	372652	5.30782e-05
Natural Gas	1970s	0	0.759506	0	0.240494	0	197	372652	0.0754467
None	1970s	0	0	0	0	1	48	354114	0.00901959
Other Fuel	1970s	0	0.759506	0	0.240494	0	197	372652	0.000523636
Propane	1970s	0	0.759506	0	0.240494	0	197	372652	0.00141141
Electricity	1980s	0.176103	0.537051	0	0.286847	0	62	463468	0.0398301
Fuel Oil	1980s	0	0.822357	0	0.177643	0	131	253604	0.000105296
Natural Gas	1980s	0	0.822357	0	0.177643	0	131	253604	0.0528496
None	1980s	0	0	0	0	1	30	204367	0.00656692
Other Fuel	1980s	0	0.822357	0	0.177643	0	131	253604	0.000417061
Propane	1980s	0	0.822357	0	0.177643	0	131	253604	0.00132276
Electricity	1990s	0.166785	0.565717	0	0.267499	0	56	420209	0.0234092
Fuel Oil	1990s	0	0.934671	0	0.065329	0	125	229603	3.43214e-05
Natural Gas	1990s	0	0.934671	0	0.065329	0	125	229603	0.030427
None	1990s	0	0	0	0	1	8	66792	0.0042495
Other Fuel	1990s	0	0.934671	0	0.065329	0	125	229603	0.000240146
Propane	1990s	0	0.934671	0	0.065329	0	125	229603	0.000929896
Electricity	2000s	0.324575	0.603666	0	0.071758	0	41	164815	0.0240008
Fuel Oil	2000s	0	0.960798	0	0.039202	0	95	91318.8	4.8347e-05
Natural Gas	2000s	0	0.960798	0	0.039202	0	95	91318.8	0.0274741
None	2000s	0	0	0	0	1	8	26592.9	0.00316384
Other Fuel	2000s	0	0.960798	0	0.039202	0	95	91318.8	0.000278741
Propane	2000s	0	0.960798	0	0.039202	0	95	91318.8	0.000768633
Electricity	2010s	0.324575	0.603666	0	0.071758	0	41	164815	0.00924115
Fuel Oil	2010s	0	0.960798	0	0.039202	0	95	91318.8	1.07466e-05
Natural Gas	2010s	0	0.960798	0	0.039202	0	95	91318.8	0.00763454
None	2010s	0	0	0	0	1	8	26592.9	0.000577419
Other Fuel	2010s	0	0.960798	0	0.039202	0	95	91318.8	0.000148875
Propane	2010s	0	0.960798	0	0.039202	0	95	91318.8	0.000212998
Electricity	<1940	0.068475	0.351521	0	0.580004	0	12	92337.9	0.0482052
Fuel Oil	<1940	0	0.544092	0	0.455908	0	68	126822	0.00015521
Natural Gas	<1940	0	0.544092	0	0.455908	0	68	126822	0.135293
None	<1940	0	0	0	0	1	19	137069	0.0183377
Other Fuel	<1940	0	0.544092	0	0.455908	0	68	126822	0.000900613
Propane	<1940	0	0.544092	0	0.455908	0	68	126822	0.00184874
# Created by: sources\recs\2009\tsv_maker.py
# Source: Constructed using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.
# Assumption: There are no mini-split heat pumps in RECS 2009
# Assumption: Due to low sample sizes for some heating fuel types, heating fuel data is queried from three groups:1) Electricity, 2) None, and 3) Natural Gas, Propane, Fuel Oil, and Other Fuel Data.
# Assumption: Assume indicated non-heat pump electric heating is a heat pump when respondents say their AC is a heat pump.
# Manually downselected to ASHRAE Climate Zone 3B for Project_LA
