Dependency=AHS Region	Dependency=Geometry Building Type RECS	Dependency=Heating Fuel	Option=None	Option=Yes	source_count	source_weight	sampling_probability
CBSA Atlanta-Sandy Springs-Roswell, GA	Mobile Home	Electricity	0.118471	0.881529	40	39136.6	0.000324514
CBSA Atlanta-Sandy Springs-Roswell, GA	Mobile Home	Fuel Oil	0.5	0.5	0	0	4.70353e-06
CBSA Atlanta-Sandy Springs-Roswell, GA	Mobile Home	Natural Gas	0.08412	0.91588	12	11419.7	6.17476e-05
CBSA Atlanta-Sandy Springs-Roswell, GA	Mobile Home	None	0.5	0.5	0	0	4.77598e-06
CBSA Atlanta-Sandy Springs-Roswell, GA	Mobile Home	Other Fuel	0	1	4	3996.42	1.57317e-05
CBSA Atlanta-Sandy Springs-Roswell, GA	Mobile Home	Propane	0	1	6	6017.18	8.18705e-05
CBSA Atlanta-Sandy Springs-Roswell, GA	Multi-Family with 2 - 4 Units	Electricity	0.203298	0.796702	55	56614.1	0.000373757
CBSA Atlanta-Sandy Springs-Roswell, GA	Multi-Family with 2 - 4 Units	Fuel Oil	0.5	0.5	0	0	1.66771e-06
CBSA Atlanta-Sandy Springs-Roswell, GA	Multi-Family with 2 - 4 Units	Natural Gas	0.135981	0.864019	25	24848.8	0.000246214
CBSA Atlanta-Sandy Springs-Roswell, GA	Multi-Family with 2 - 4 Units	None	0.5	0.5	0	0	4.97705e-06
CBSA Atlanta-Sandy Springs-Roswell, GA	Multi-Family with 2 - 4 Units	Other Fuel	0	1	1	1048	4.28598e-07
CBSA Atlanta-Sandy Springs-Roswell, GA	Multi-Family with 2 - 4 Units	Propane	0.5	0.5	0	0	6.86457e-06
CBSA Atlanta-Sandy Springs-Roswell, GA	Multi-Family with 5+ Units	Electricity	0.262813	0.737187	278	278199	0.00252379
CBSA Atlanta-Sandy Springs-Roswell, GA	Multi-Family with 5+ Units	Fuel Oil	0.5	0.5	0	0	1.73286e-06
CBSA Atlanta-Sandy Springs-Roswell, GA	Multi-Family with 5+ Units	Natural Gas	0.336096	0.663904	77	79218.1	0.000973238
CBSA Atlanta-Sandy Springs-Roswell, GA	Multi-Family with 5+ Units	None	0.5	0.5	0	0	2.05205e-05
CBSA Atlanta-Sandy Springs-Roswell, GA	Multi-Family with 5+ Units	Other Fuel	0.5	0.5	0	0	4.13871e-06
CBSA Atlanta-Sandy Springs-Roswell, GA	Multi-Family with 5+ Units	Propane	0.5	0.5	0	0	2.33569e-05
CBSA Atlanta-Sandy Springs-Roswell, GA	Single-Family Attached	Electricity	0.077234	0.922766	86	89373.3	0.000371428
CBSA Atlanta-Sandy Springs-Roswell, GA	Single-Family Attached	Fuel Oil	0.5	0.5	0	0	2.06549e-06
CBSA Atlanta-Sandy Springs-Roswell, GA	Single-Family Attached	Natural Gas	0.080982	0.919018	50	52287.8	0.000499502
CBSA Atlanta-Sandy Springs-Roswell, GA	Single-Family Attached	None	0.5	0.5	0	0	1.8749e-06
CBSA Atlanta-Sandy Springs-Roswell, GA	Single-Family Attached	Other Fuel	0.5	0.5	0	0	8.32878e-07
CBSA Atlanta-Sandy Springs-Roswell, GA	Single-Family Attached	Propane	0.5	0.5	0	0	1.0974e-05
CBSA Atlanta-Sandy Springs-Roswell, GA	Single-Family Detached	Electricity	0.012274	0.987726	522	543715	0.00328115
CBSA Atlanta-Sandy Springs-Roswell, GA	Single-Family Detached	Fuel Oil	0	1	1	966.441	1.43089e-05
CBSA Atlanta-Sandy Springs-Roswell, GA	Single-Family Detached	Natural Gas	0.010836	0.989164	835	873703	0.00733644
CBSA Atlanta-Sandy Springs-Roswell, GA	Single-Family Detached	None	0.5	0.5	0	0	2.13898e-05
CBSA Atlanta-Sandy Springs-Roswell, GA	Single-Family Detached	Other Fuel	0.099534	0.900466	10	10529.1	6.4121e-05
CBSA Atlanta-Sandy Springs-Roswell, GA	Single-Family Detached	Propane	0.025647	0.974353	36	37682.9	0.000388705
CBSA Boston-Cambridge-Newton, MA-NH	Mobile Home	Electricity	0	1	2	1464.07	1.02595e-05
CBSA Boston-Cambridge-Newton, MA-NH	Mobile Home	Fuel Oil	0	1	9	6212.32	8.24911e-05
CBSA Boston-Cambridge-Newton, MA-NH	Mobile Home	Natural Gas	0	1	5	3877.73	2.91199e-05
CBSA Boston-Cambridge-Newton, MA-NH	Mobile Home	None	0.5	0.5	0	0	1.88876e-06
CBSA Boston-Cambridge-Newton, MA-NH	Mobile Home	Other Fuel	0.144423	0.855577	6	4509.61	7.05056e-06
CBSA Boston-Cambridge-Newton, MA-NH	Mobile Home	Propane	0	1	2	1685.52	3.76577e-05
CBSA Boston-Cambridge-Newton, MA-NH	Multi-Family with 2 - 4 Units	Electricity	0.57928	0.42072	62	59596.6	0.000387793
