Dependency=Duct Location	Dependency=Vintage	Option=0% Leakage, Uninsulated	Option=10% Leakage, R-4	Option=10% Leakage, R-6	Option=10% Leakage, R-8	Option=10% Leakage, Uninsulated	Option=20% Leakage, R-4	Option=20% Leakage, R-6	Option=20% Leakage, R-8	Option=20% Leakage, Uninsulated	Option=30% Leakage, R-4	Option=30% Leakage, R-6	Option=30% Leakage, R-8	Option=30% Leakage, Uninsulated	Option=None	sampling_probability
Garage	<1940	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0	0	0	0.000330212
Garage	1940s	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0	0	0	0.000686286
Garage	1950s	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0	0	0	0.00252339
Garage	1960s	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0	0	0	0.00445986
Garage	1970s	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0	0	0	0.00604545
Garage	1980s	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0	0	0	0.00612074
Garage	1990s	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0	0	0	0.00709953
Garage	2000s	0	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0	0.0102489
Garage	2010s	0	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0	0.00323595
Heated Basement	<1940	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0130456
Heated Basement	1940s	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00699022
Heated Basement	1950s	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0162687
Heated Basement	1960s	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0125387
Heated Basement	1970s	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014702
Heated Basement	1980s	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0115802
Heated Basement	1990s	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0142111
Heated Basement	2000s	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013389
Heated Basement	2010s	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00392685
Living Space	<1940	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0148352
Living Space	1940s	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00692146
Living Space	1950s	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0139552
Living Space	1960s	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0229435
Living Space	1970s	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.043736
Living Space	1980s	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0430562
Living Space	1990s	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0418117
Living Space	2000s	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375189
Living Space	2010s	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016769
None	<1940	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0426853
None	1940s	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0140995
None	1950s	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0223817
None	1960s	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0222669
None	1970s	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0303931
None	1980s	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0210722
None	1990s	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0175567
None	2000s	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00988332
None	2010s	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00478515
Unheated Basement	<1940	0	0	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0.0299303
Unheated Basement	1940s	0	0	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0.00560363
Unheated Basement	1950s	0	0	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0.0125447
Unheated Basement	1960s	0	0	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0.00858548
Unheated Basement	1970s	0	0	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0.0100987
Unheated Basement	1980s	0	0	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0.00733565
Unheated Basement	1990s	0	0	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0.00853982
Unheated Basement	2000s	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0	0	0.00958408
Unheated Basement	2010s	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0	0	0.00318782
Unvented Attic	<1940	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0	0	0	0.000526475
Unvented Attic	1940s	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0	0	0	0.000504865
Unvented Attic	1950s	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0	0	0	0.00128323
Unvented Attic	1960s	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0	0	0	0.00109253
Unvented Attic	1970s	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0	0	0	0.00146199
Unvented Attic	1980s	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0	0	0	0.00218898
Unvented Attic	1990s	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0	0	0	0.00220789
Unvented Attic	2000s	0	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0	0.00293582
Unvented Attic	2010s	0	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0	0.00109907
Unvented Crawlspace	<1940	0	0	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0
Unvented Crawlspace	1940s	0	0	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0
Unvented Crawlspace	1950s	0	0	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0
Unvented Crawlspace	1960s	0	0	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0
Unvented Crawlspace	1970s	0	0	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0
Unvented Crawlspace	1980s	0	0	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0.00398314
Unvented Crawlspace	1990s	0	0	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0.00449849
