Dependency=Geometry Building Number Units MF	Dependency=Geometry Stories	Option=Left	Option=Middle	Option=None	Option=Not Applicable	Option=Right	sampling_probability
2	1	0.5	0	0	0	0.5	0.00597765
3	1	0.333333	0.333333	0	0	0.333333	0.0024389
4	1	0.5	0	0	0	0.5	0.0024389
5	1	0.4	0.2	0	0	0.4	0.00126551
6	1	0.333333	0.333333	0	0	0.333333	0.00135367
7	1	0.285714	0.428571	0	0	0.285714	0.000600446
8	1	0.25	0.5	0	0	0.25	0.00194946
9	1	0.222222	0.555556	0	0	0.222222	0
10	1	0.2	0.6	0	0	0.2	0.000743811
11	1	0.181818	0.636364	0	0	0.181818	0
12	1	0.166667	0.666667	0	0	0.166667	0.000916327
13	1	0.153846	0.692308	0	0	0.153846	0.000188291
14	1	0.142857	0.714286	0	0	0.142857	4.57926e-05
15	1	0.133333	0.733333	0	0	0.133333	0.000178382
16	1	0.125	0.75	0	0	0.125	0.000671221
17	1	0.117647	0.764706	0	0	0.117647	0
18	1	0.111111	0.777778	0	0	0.111111	4.67135e-05
19	1	0.105263	0.789474	0	0	0.105263	0
20	1	0.1	0.8	0	0	0.1	0.000604141
24	1	0.0833333	0.833333	0	0	0.0833333	0.000863031
30	1	0.0666667	0.866667	0	0	0.0666667	0.000515183
36	1	0.0555556	0.888889	0	0	0.0555556	7.37626e-05
43	1	0.0465116	0.906977	0	0	0.0465116	0.000241354
67	1	0.0298507	0.940299	0	0	0.0298507	0.000635936
116	1	0.0172414	0.965517	0	0	0.0172414	0.000206813
183	1	0.010929	0.978142	0	0	0.010929	0
323	1	0.00619195	0.987616	0	0	0.00619195	0.000171693
None	1	0	0	1	0	0	0.506367
2	2	0	0	0	1	0	0.0296284
3	2	0.5	0	0	0	0.5	0
4	2	0.5	0	0	0	0.5	0.0263623
5	2	0.4	0.2	0	0	0.4	0.00237582
6	2	0.333333	0.333333	0	0	0.333333	0.00561649
7	2	0.285714	0.428571	0	0	0.285714	0.00125788
8	2	0.5	0	0	0	0.5	0.0183408
9	2	0.444444	0.111111	0	0	0.444444	0.000624089
10	2	0.4	0.2	0	0	0.4	0.00470719
11	2	0.363636	0.272727	0	0	0.363636	0.000545288
12	2	0.333333	0.333333	0	0	0.333333	0.00591522
13	2	0.307692	0.384615	0	0	0.307692	0.000515448
14	2	0.285714	0.428571	0	0	0.285714	0.00124615
15	2	0.266667	0.466667	0	0	0.266667	0.000931705
16	2	0.25	0.5	0	0	0.25	0.00326175
17	2	0.235294	0.529412	0	0	0.235294	6.27253e-05
18	2	0.222222	0.555556	0	0	0.222222	0.000478715
19	2	0.210526	0.578947	0	0	0.210526	0.000150462
20	2	0.2	0.6	0	0	0.2	0.00287767
24	2	0.166667	0.666667	0	0	0.166667	0.00254232
30	2	0.133333	0.733333	0	0	0.133333	0.000799197
36	2	0.111111	0.777778	0	0	0.111111	0.000731503
43	2	0.0930233	0.813953	0	0	0.0930233	0.000957462
67	2	0.0597015	0.880597	0	0	0.0597015	0.00276069
116	2	0.0344828	0.931034	0	0	0.0344828	0.000793023
183	2	0.0218579	0.956284	0	0	0.0218579	0.000554627
323	2	0.0123839	0.975232	0	0	0.0123839	0.00028461
None	2	0	0	1	0	0	0.228907
2	3	0	0	0	1	0	0
3	3	0	0	0	1	0	0.0102713
4	3	0.5	0	0	0	0.5	0
5	3	0.5	0	0	0	0.5	0.00153961
6	3	0.5	0	0	0	0.5	0.00690615
7	3	0.428571	0.142857	0	0	0.428571	0.000331555
8	3	0.375	0.25	0	0	0.375	0.00142905
9	3	0.333333	0.333333	0	0	0.333333	0.000652533
10	3	0.3	0.4	0	0	0.3	0.00244235
11	3	0.272727	0.454545	0	0	0.272727	0.000279257
12	3	0.5	0	0	0	0.5	0.00991448
13	3	0.461538	0.0769231	0	0	0.461538	0.000604804
14	3	0.428571	0.142857	0	0	0.428571	3.76164e-05
15	3	0.4	0.2	0	0	0.4	0.00105629
16	3	0.375	0.25	0	0	0.375	0.000862271
17	3	0.352941	0.294118	0	0	0.352941	4.89298e-05
18	3	0.333333	0.333333	0	0	0.333333	0.001465
19	3	0.315789	0.368421	0	0	0.315789	0
20	3	0.3	0.4	0	0	0.3	0.00193009
24	3	0.25	0.5	0	0	0.25	0.00456968
30	3	0.2	0.6	0	0	0.2	0.00416146
