Dependency=Geometry Floor Area	Option=0-1499	Option=1500-2499	Option=2500-3999	Option=4000+	source_count	source_weight	sampling_probability
0-499	1	0	0	0	755	7.15905e+06	0.0283221
1000-1499	1	0	0	0	2819	2.67582e+07	0.261526
1500-1999	0	1	0	0	2047	1.87737e+07	0.200995
2000-2499	0	1	0	0	1367	1.26713e+07	0.129403
2500-2999	0	0	1	0	815	7.29895e+06	0.0686173
3000-3999	0	0	1	0	869	7.86882e+06	0.0631421
4000+	0	0	0	1	590	5.0953e+06	0.0305176
500-749	1	0	0	0	1155	1.20227e+07	0.0793225
750-999	1	0	0	0	1567	1.50868e+07	0.138154
# Created by: sources\recs\2009\tsv_maker.py
# Source: The sample counts and sample weights are constructed using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.
# Source: Geometry Floor Area bins are from the UNITSIZE field of the 2017 American Housing Survey (AHS).
