Dependency=Geometry Building Type ACS	Dependency=Geometry Floor Area Bin	Dependency=Vintage ACS	Option=1	Option=2	Option=3	Option=4	Option=5	Option=6	Option=7	Option=8	Option=9	Option=10	Option=11	Option=12	Option=13	Option=14	Option=15	Option=20	Option=21	source_count	source_weight	sampling_probability
10 to 19 Unit	0-1499	1940-59	0.100899	0.3665	0.318237	0.083899	0.116526	0.01394	0	0	0	0	0	0	0	0	0	0	0	51	119513	0.00342865
10 to 19 Unit	1500-2499	1940-59	0.100899	0.3665	0.318237	0.083899	0.116526	0.01394	0	0	0	0	0	0	0	0	0	0	0	51	119513	0.000152993
10 to 19 Unit	2500-3999	1940-59	0.100899	0.3665	0.318237	0.083899	0.116526	0.01394	0	0	0	0	0	0	0	0	0	0	0	51	119513	1.15109e-05
10 to 19 Unit	4000+	1940-59	0.100899	0.3665	0.318237	0.083899	0.116526	0.01394	0	0	0	0	0	0	0	0	0	0	0	51	119513	9.52973e-06
10 to 19 Unit	0-1499	1960-79	0.083122	0.490164	0.348236	0.030431	0.008334	0.017591	0.002378	0.013067	0	0	0	0	0	0	0	0.006677	0	185	451532	0.0128016
10 to 19 Unit	1500-2499	1960-79	0.083122	0.490164	0.348236	0.030431	0.008334	0.017591	0.002378	0.013067	0	0	0	0	0	0	0	0.006677	0	185	451532	0.000392224
10 to 19 Unit	2500-3999	1960-79	0.083122	0.490164	0.348236	0.030431	0.008334	0.017591	0.002378	0.013067	0	0	0	0	0	0	0	0.006677	0	185	451532	2.72021e-05
10 to 19 Unit	4000+	1960-79	0.083122	0.490164	0.348236	0.030431	0.008334	0.017591	0.002378	0.013067	0	0	0	0	0	0	0	0.006677	0	185	451532	2.99915e-05
10 to 19 Unit	0-1499	1980-99	0.059773	0.478125	0.453307	0.008795	0	0	0	0	0	0	0	0	0	0	0	0	0	158	375527	0.0142315
10 to 19 Unit	1500-2499	1980-99	0.059773	0.478125	0.453307	0.008795	0	0	0	0	0	0	0	0	0	0	0	0	0	158	375527	0.000805981
10 to 19 Unit	2500-3999	1980-99	0.059773	0.478125	0.453307	0.008795	0	0	0	0	0	0	0	0	0	0	0	0	0	158	375527	6.64617e-05
10 to 19 Unit	4000+	1980-99	0.059773	0.478125	0.453307	0.008795	0	0	0	0	0	0	0	0	0	0	0	0	0	158	375527	5.95228e-05
10 to 19 Unit	0-1499	2000-09	0.047035	0.431897	0.428572	0.08202	0.010476	0	0	0	0	0	0	0	0	0	0	0	0	69	89470.1	0.00533846
10 to 19 Unit	1500-2499	2000-09	0.047035	0.431897	0.428572	0.08202	0.010476	0	0	0	0	0	0	0	0	0	0	0	0	69	89470.1	0.000447009
10 to 19 Unit	2500-3999	2000-09	0.047035	0.431897	0.428572	0.08202	0.010476	0	0	0	0	0	0	0	0	0	0	0	0	69	89470.1	4.24857e-05
10 to 19 Unit	4000+	2000-09	0.047035	0.431897	0.428572	0.08202	0.010476	0	0	0	0	0	0	0	0	0	0	0	0	69	89470.1	6.82829e-06
10 to 19 Unit	0-1499	2010s	0.047035	0.431897	0.428572	0.08202	0.010476	0	0	0	0	0	0	0	0	0	0	0	0	69	89470.1	0.00164103
10 to 19 Unit	1500-2499	2010s	0.047035	0.431897	0.428572	0.08202	0.010476	0	0	0	0	0	0	0	0	0	0	0	0	69	89470.1	0.00015804
