Dependency=Geometry Wall Type	Dependency=State	Dependency=Vintage ACS	Option=Aluminum, Light	Option=Brick, Light	Option=Brick, Medium/Dark	Option=Fiber-Cement, Light	Option=None	Option=Shingle, Asbestos, Medium	Option=Shingle, Composition, Medium	Option=Stucco, Light	Option=Stucco, Medium/Dark	Option=Vinyl, Light	Option=Wood, Medium/Dark	source_count	source_weight	sampling_probability
Brick	AL	1940-59	0	0	0	0.000537057	0.899839	0.00134264	0.00295381	0.0537057	0	0.0314178	0.0102041	3724	3724	0.000178264
Concrete	AL	1940-59	0	0	0.0209184	0	0.732653	0.00102041	0.00255102	0.213776	0	0.0107143	0.0183673	1960	1960	9.35139e-05
Steel Frame	AL	1940-59	0.0948617	0	0.225296	0	0	0.146245	0.00790514	0	0	0.399209	0.126482	253	253	2.03948e-05
Void	AL	1940-59	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	AL	1940-59	0.000204625	0	0.369727	2.92321e-05	0	0.342103	0.00201701	0.0182116	0	0.0368032	0.230904	34209	34209	0.00182219
Brick	AL	1960-79	0	0	0	6.58285e-05	0.953986	6.58285e-05	0.00125074	0.00171154	0	0.0317951	0.011125	15191	15191	0.000623006
Concrete	AL	1960-79	0.000547945	0	0.0273973	0	0.82137	0.00164384	0	0.113973	0	0.0147945	0.020274	1825	1825	7.72429e-05
Steel Frame	AL	1960-79	0.0861678	0	0.566893	0.00226757	0	0.00680272	0.00226757	0	0	0.174603	0.160998	441	441	0.000113268
Void	AL	1960-79	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	AL	1960-79	0.000155338	2.21912e-05	0.861727	5.54779e-05	0	0.018918	0.000355058	0.00836607	0	0.019151	0.09125	90126	90126	0.00382328
Brick	AL	1980-99	0	0	0	0	0.955662	0	0.00245566	0.00190996	0	0.0260573	0.0139154	7330	7330	0.00047
Concrete	AL	1980-99	0.00179748	0	0.0868784	0	0.713002	0.00179748	0.000599161	0.165368	0	0.0191732	0.0113841	1669	1669	0.000108888
Steel Frame	AL	1980-99	0.258333	0	0.208333	0	0	0.00833333	0.00277778	0	0	0.294444	0.227778	360	360	0.000685437
Void	AL	1980-99	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	AL	1980-99	0.00015748	1.5748e-05	0.895118	0	0	0.0023937	0.000535433	0.0087874	0	0.023685	0.0693071	63500	63500	0.00426202
Brick	AL	2000-09	0	0	0	0	0.935649	0	0.00111334	0.0135827	0	0.0298375	0.0198174	4491	4491	0.000179393
Concrete	AL	2000-09	0.0020202	0	0.462626	0	0.367677	0	0	0.10101	0	0.020202	0.0464646	495	495	8.09137e-05
Steel Frame	AL	2000-09	0.233596	0	0.475066	0	0	0	0	0	0	0.246719	0.0446194	381	381	0.00027859
Void	AL	2000-09	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	AL	2000-09	0.000320741	0	0.93448	8.90948e-05	0	0.000570207	0.000445474	0.00397363	0	0.0455987	0.0145225	56120	56120	0.00220426
Brick	AL	2010s	0	0	0	0	0.916556	0.0013245	0.00397351	0	0	0.0357616	0.0423841	755	755	2.74466e-05
Concrete	AL	2010s	0.0175439	0	0.0526316	0	0.508772	0	0	0.245614	0	0.0877193	0.0877193	57	57	7.10178e-06
Steel Frame	AL	2010s	0.794643	0	0.0357143	0	0	0	0	0	0	0.125	0.0446429	112	112	3.50866e-05
Void	AL	2010s	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	AL	2010s	4.65419e-05	0	0.921949	4.65419e-05	0	0.00549195	0.00195476	0.00474728	0	0.0361165	0.0296472	21486	21486	0.000644539
Brick	AL	<1940	0	0	0	0.000786164	0.910377	0	0.00393082	0.0463836	0	0.0235849	0.0149371	1272	1272	4.40383e-05
