Dependency=Geometry Stories	Dependency=Geometry Building Number Units MF	Dependency=Corridor	Option=Yes	Option=No
1	None	Double-Loaded Interior	0.000000	1.000000
1	2	Double-Loaded Interior	1.000000	0.000000
1	3	Double-Loaded Interior	0.000000	1.000000
1	4	Double-Loaded Interior	1.000000	0.000000
1	6	Double-Loaded Interior	1.000000	0.000000
1	8	Double-Loaded Interior	1.000000	0.000000
1	9	Double-Loaded Interior	0.000000	1.000000
1	12	Double-Loaded Interior	1.000000	0.000000
1	15	Double-Loaded Interior	0.000000	1.000000
1	16	Double-Loaded Interior	1.000000	0.000000
1	18	Double-Loaded Interior	1.000000	0.000000
1	20	Double-Loaded Interior	1.000000	0.000000
1	21	Double-Loaded Interior	0.000000	1.000000
1	24	Double-Loaded Interior	1.000000	0.000000
1	36	Double-Loaded Interior	1.000000	0.000000
1	42	Double-Loaded Interior	1.000000	0.000000
1	54	Double-Loaded Interior	1.000000	0.000000
1	78	Double-Loaded Interior	1.000000	0.000000
1	102	Double-Loaded Interior	1.000000	0.000000
1	160	Double-Loaded Interior	1.000000	0.000000
1	210	Double-Loaded Interior	1.000000	0.000000
2	None	Double-Loaded Interior	0.000000	1.000000
2	2	Double-Loaded Interior	0.000000	1.000000
2	3	Double-Loaded Interior	0.000000	1.000000
2	4	Double-Loaded Interior	1.000000	0.000000
2	6	Double-Loaded Interior	0.000000	1.000000
2	8	Double-Loaded Interior	1.000000	0.000000
2	9	Double-Loaded Interior	0.000000	1.000000
2	12	Double-Loaded Interior	1.000000	0.000000
2	15	Double-Loaded Interior	0.000000	1.000000
2	16	Double-Loaded Interior	1.000000	0.000000
2	18	Double-Loaded Interior	0.000000	1.000000
2	20	Double-Loaded Interior	1.000000	0.000000
2	21	Double-Loaded Interior	0.000000	1.000000
2	24	Double-Loaded Interior	1.000000	0.000000
2	36	Double-Loaded Interior	1.000000	0.000000
2	42	Double-Loaded Interior	0.000000	1.000000
2	54	Double-Loaded Interior	0.000000	1.000000
2	78	Double-Loaded Interior	0.000000	1.000000
2	102	Double-Loaded Interior	0.000000	1.000000
2	160	Double-Loaded Interior	1.000000	0.000000
2	210	Double-Loaded Interior	0.000000	1.000000
3	None	Double-Loaded Interior	0.000000	1.000000
3	2	Double-Loaded Interior	0.000000	1.000000
3	3	Double-Loaded Interior	0.000000	1.000000
3	4	Double-Loaded Interior	0.000000	1.000000
3	6	Double-Loaded Interior	1.000000	0.000000
3	8	Double-Loaded Interior	0.000000	1.000000
3	9	Double-Loaded Interior	0.000000	1.000000
3	12	Double-Loaded Interior	1.000000	0.000000
3	15	Double-Loaded Interior	0.000000	1.000000
3	16	Double-Loaded Interior	0.000000	1.000000
3	18	Double-Loaded Interior	1.000000	0.000000
3	20	Double-Loaded Interior	0.000000	1.000000
3	21	Double-Loaded Interior	0.000000	1.000000
3	24	Double-Loaded Interior	1.000000	0.000000
3	36	Double-Loaded Interior	1.000000	0.000000
3	42	Double-Loaded Interior	1.000000	0.000000
3	54	Double-Loaded Interior	1.000000	0.000000
3	78	Double-Loaded Interior	1.000000	0.000000
3	102	Double-Loaded Interior	1.000000	0.000000
3	160	Double-Loaded Interior	0.000000	1.000000
