Dependency=Vintage	Dependency=Heating Fuel	Dependency=Location EPW	Dependency=Location Census Tract	Dependency=County	Option=owner 0-30	Option=owner 30-50	Option=owner 50-80	Option=owner 80-100	Option=owner 100+	Option=renter 0-30	Option=renter 30-50	Option=renter 50-80	Option=renter 80-100	Option=renter 100+	Count
1950s	Electricity	USA_MD_Baltimore-Washington.Intl.AP.724060_TMY3.epw	G1100010006500	1.0	3.11989033539e-05	0.0190474393792	0.0456289080903	0.164402163472	0.535947604373	0.0278917703947	0.203486587721	4.22447520749e-06	3.77431934993e-05	0.00352235999742	0.0199891669557
1950s	Electricity	USA_MD_Baltimore-Washington.Intl.AP.724060_TMY3.epw	G1100010006600	1.0	0.0020909467589	0.101276799642	0.0822509539108	0.307311328635	0.507069971054	0.0	0.0	0.0	0.0	0.0	0.0388485058628
1950s	Electricity	USA_MD_Baltimore-Washington.Intl.AP.724060_TMY3.epw	G1100010006700	1.0	0.0518745115022	0.0624067437731	0.0691277171638	0.192385232614	0.240661557713	0.0166328142593	0.105885305684	5.33265743581e-05	0.000652827089651	0.260319963626	0.413232043031
1950s	Electricity	USA_MD_Baltimore-Washington.Intl.AP.724060_TMY3.epw	G1100010006801	1.0	0.00245188535649	0.0455199926957	0.129717381823	0.096966495454	0.0784526112875	0.1404656588	0.187591230742	0.000667589248464	0.00487620820676	0.313290946386	1.50070494633
1950s	Electricity	USA_MD_Baltimore-Washington.Intl.AP.724060_TMY3.epw	G1100010006802	1.0	0.00628175217882	0.0420065138221	0.112097454904	0.318909369275	0.352602911006	0.131055773818	0.0370462249961	2.42329423671e-154	8.66468051666e-154	4.16361373361e-153	0.390368327127
1950s	Electricity	USA_MD_Baltimore-Washington.Intl.AP.724060_TMY3.epw	G1100010006900	1.0	6.40358676265e-05	0.0329275896091	0.038696575586	0.0347035976028	0.145512067629	0.113709918043	0.187544084084	0.00130118037394	0.00380874816177	0.441732203043	0.482731378272
1950s	Electricity	USA_MD_Baltimore-Washington.Intl.AP.724060_TMY3.epw	G1100010007000	1.0	9.09400947255e-06	0.000233445949574	0.000650556126967	0.924869174811	0.0742377291027	0.0	0.0	0.0	0.0	0.0	0.0598413949684
1950s	Electricity	USA_MD_Baltimore-Washington.Intl.AP.724060_TMY3.epw	G1100010007100	1.0	0.00639768649756	0.0187513707844	0.0533754544531	0.41126668556	0.233307936641	0.0523259265155	0.177714862832	0.000619564598863	0.00137812890484	0.0448623832131	0.771991483444
1950s	Electricity	USA_MD_Baltimore-Washington.Intl.AP.724060_TMY3.epw	G1100010007304	1.0	0.108017035468	0.0454380917119	0.020593753588	0.0205299254127	0.180903318426	0.261169282288	0.155724926571	0.165939654012	0.0211434823281	0.0205405301938	3.45891324308
1950s	Electricity	USA_MD_Baltimore-Washington.Intl.AP.724060_TMY3.epw	G1100010007401	1.0	0.000130178876327	0.0288334524158	0.00318248049916	0.00393009215186	0.0901481629976	0.658775677022	0.0898335855343	0.0843504860963	0.0373838902935	0.00343199411264	1.16839079397
1950s	Electricity	USA_MD_Baltimore-Washington.Intl.AP.724060_TMY3.epw	G1100010007403	1.0	0.725621791987	0.000528469820537	0.0	1.87764032002e-05	0.27383096179	0.0	0.0	0.0	0.0	0.0	2.2033244419
