Dependency=Vintage	Dependency=Heating Fuel	Dependency=Location EPW	Dependency=Location Census Tract	Dependency=County	Option=owner 0-30	Option=owner 30-50	Option=owner 50-80	Option=owner 80-100	Option=owner 100+	Option=renter 0-30	Option=renter 30-50	Option=renter 50-80	Option=renter 80-100	Option=renter 100+	Count
1950s	Electricity	USA_ID_Pocatello.Muni.AP.725780_TMY3.epw	G3000010000100	1.0	0.0950804141426	0.066935521461	0.122703804521	0.03835910374	0.126570646873	0.0813549206664	0.195228916834	0.0713749442434	0.0632417675521	0.139149959966	2.76663982853
1950s	Electricity	USA_ID_Pocatello.Muni.AP.725780_TMY3.epw	G3000010000200	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1950s	Electricity	USA_ID_Pocatello.Muni.AP.725780_TMY3.epw	G3000310001500	31.0	0.0610945763569	0.0208211492528	0.0696978820671	0.00804004460417	0.253068997756	0.22598490386	0.201737760514	0.112254158596	0.0148872580135	0.0324132689793	0.284973992253
1950s	Electricity	USA_ID_Pocatello.Muni.AP.725780_TMY3.epw	G3000570000100	57.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1950s	Electricity	USA_ID_Pocatello.Muni.AP.725780_TMY3.epw	G3000570000300	57.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1950s	Electricity	USA_MT_Billings-Logan.Intl.AP.726770_TMY3.epw	G3000030000100	3.0	0.0641855311207	0.0545106753277	0.0747670427589	0.1000140202	0.293829752047	0.164498076015	0.00480365556743	0.0845403026848	0.0250824777796	0.133768466499	10.3159647834
1950s	Electricity	USA_MT_Billings-Logan.Intl.AP.726770_TMY3.epw	G3000030940400	3.0	0.280962391108	0.0495199474981	0.177789378016	0.0857345929041	0.242862296679	0.0923221335589	0.000566029458283	0.00632777596704	0.0125067986724	0.0514086561382	1.62628545749
1950s	Electricity	USA_MT_Billings-Logan.Intl.AP.726770_TMY3.epw	G3000030940500	3.0	0.0950368395478	0.0661451338675	0.232505684305	0.0918916915661	0.212660312533	0.0908857192216	0.0910839746387	0.0452218576517	0.0176028012181	0.0569659854504	3.49829080501
1950s	Electricity	USA_MT_Billings-Logan.Intl.AP.726770_TMY3.epw	G3000030940600	3.0	0.166432166168	0.106018060393	0.11090285055	0.0564339583927	0.222203377688	0.0443122829592	0.0454780150325	0.0475641130181	0.0547086418646	0.145946533935	3.23325997003
1950s	Electricity	USA_MT_Billings-Logan.Intl.AP.726770_TMY3.epw	G3000030940700	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1950s	Electricity	USA_MT_Billings-Logan.Intl.AP.726770_TMY3.epw	G3000090000100	9.0	0.0858538312138	0.00480581490404	0.0550024264875	0.0332304994622	0.222201998757	0.0252722951883	0.0553550397875	0.241105135447	0.0312963473183	0.245876611434	4.76364036987
1950s	Electricity	USA_MT_Billings-Logan.Intl.AP.726770_TMY3.epw	G3000090000200	9.0	0.15291069381	0.00861308867863	0.0551859683466	0.0275821176891	0.470319977772	0.125500429191	0.00330771761354	0.0117152797889	0.0337014825428	0.111163244568	3.19900593363
1950s	Electricity	USA_MT_Billings-Logan.Intl.AP.726770_TMY3.epw	G3000090000300	9.0	0.0472437012402	0.000500130571293	0.00861993880627	0.0117268701962	0.148132091971	0.157764760353	0.0971186184261	0.19201480712	0.0532188540282	0.283660227288	8.71838452726
