Dependency=Location Region	Dependency=Vintage	Option=Clear, Single, Metal	Option=Clear, Single, Non-metal	Option=Clear, Double, Metal, Air	Option=Clear, Double, Non-metal, Air	Option=Low-E, Double, Non-metal, Air, L-Gain	Option=Low-E, Triple, Non-metal, Air, L-Gain
CR02	<1950	0.000000	0.380000	0.000000	0.310000	0.310000	0.000000
CR02	1950s	0.310000	0.000000	0.000000	0.340000	0.350000	0.000000
CR02	1960s	0.390000	0.000000	0.210000	0.200000	0.190000	0.000000
CR02	1970s	0.250000	0.000000	0.240000	0.230000	0.210000	0.070000
CR02	1980s	0.120000	0.000000	0.260000	0.270000	0.270000	0.080000
CR02	1990s	0.070000	0.000000	0.000000	0.520000	0.280000	0.120000
CR02	2000s	0.040000	0.000000	0.000000	0.370000	0.590000	0.000000
CR03	<1950	0.000000	0.330000	0.000000	0.350000	0.320000	0.000000
CR03	1950s	0.220000	0.000000	0.000000	0.400000	0.380000	0.000000
CR03	1960s	0.300000	0.000000	0.200000	0.260000	0.240000	0.000000
CR03	1970s	0.240000	0.000000	0.210000	0.270000	0.280000	0.000000
CR03	1980s	0.200000	0.000000	0.190000	0.270000	0.270000	0.070000
CR03	1990s	0.100000	0.000000	0.000000	0.580000	0.310000	0.000000
CR03	2000s	0.070000	0.000000	0.000000	0.360000	0.580000	0.000000
CR04	<1950	0.000000	0.420000	0.000000	0.300000	0.280000	0.000000
CR04	1950s	0.270000	0.000000	0.000000	0.380000	0.350000	0.000000
CR04	1960s	0.200000	0.000000	0.280000	0.250000	0.260000	0.000000
CR04	1970s	0.190000	0.000000	0.290000	0.270000	0.250000	0.000000
CR04	1980s	0.270000	0.000000	0.230000	0.230000	0.270000	0.000000
CR04	1990s	0.110000	0.000000	0.000000	0.550000	0.340000	0.000000
CR04	2000s	0.110000	0.000000	0.000000	0.340000	0.550000	0.000000
CR05	<1950	0.000000	0.390000	0.000000	0.320000	0.290000	0.000000
CR05	1950s	0.270000	0.000000	0.000000	0.380000	0.350000	0.000000
CR05	1960s	0.220000	0.000000	0.260000	0.270000	0.250000	0.000000
CR05	1970s	0.190000	0.000000	0.260000	0.270000	0.280000	0.000000
CR05	1980s	0.110000	0.000000	0.270000	0.310000	0.310000	0.000000
CR05	1990s	0.180000	0.000000	0.000000	0.510000	0.320000	0.000000
CR05	2000s	0.030000	0.000000	0.000000	0.390000	0.580000	0.000000
CR06	<1950	0.000000	0.600000	0.000000	0.210000	0.190000	0.000000
CR06	1950s	0.270000	0.000000	0.000000	0.380000	0.350000	0.000000
CR06	1960s	0.180000	0.000000	0.370000	0.220000	0.230000	0.000000
CR06	1970s	0.190000	0.000000	0.370000	0.230000	0.210000	0.000000
CR06	1980s	0.090000	0.000000	0.370000	0.250000	0.280000	0.000000
CR06	1990s	0.070000	0.000000	0.000000	0.610000	0.330000	0.000000
CR06	2000s	0.020000	0.000000	0.000000	0.380000	0.600000	0.000000
CR07	<1950	0.000000	0.410000	0.000000	0.300000	0.300000	0.000000
CR07	1950s	0.260000	0.000000	0.000000	0.370000	0.370000	0.000000
CR07	1960s	0.280000	0.000000	0.220000	0.240000	0.260000	0.000000
CR07	1970s	0.330000	0.000000	0.220000	0.230000	0.220000	0.000000
CR07	1980s	0.240000	0.000000	0.220000	0.260000	0.270000	0.000000
CR07	1990s	0.060000	0.000000	0.000000	0.600000	0.340000	0.000000
CR07	2000s	0.070000	0.000000	0.000000	0.360000	0.580000	0.000000
CR08	<1950	0.000000	0.570000	0.000000	0.220000	0.210000	0.000000
CR08	1950s	0.440000	0.000000	0.000000	0.270000	0.290000	0.000000
CR08	1960s	0.470000	0.000000	0.260000	0.130000	0.150000	0.000000
CR08	1970s	0.340000	0.000000	0.330000	0.160000	0.170000	0.000000
CR08	1980s	0.230000	0.000000	0.340000	0.190000	0.240000	0.000000
CR08	1990s	0.090000	0.000000	0.000000	0.570000	0.340000	0.000000
CR08	2000s	0.110000	0.000000	0.000000	0.340000	0.550000	0.000000
CR09	<1950	0.000000	0.690000	0.000000	0.160000	0.150000	0.000000
CR09	1950s	0.720000	0.000000	0.000000	0.150000	0.140000	0.000000
CR09	1960s	0.700000	0.000000	0.210000	0.050000	0.050000	0.000000
CR09	1970s	0.600000	0.000000	0.280000	0.060000	0.060000	0.000000
CR09	1980s	0.480000	0.000000	0.320000	0.080000	0.120000	0.000000
CR09	1990s	0.430000	0.000000	0.000000	0.360000	0.200000	0.000000
CR09	2000s	0.250000	0.000000	0.000000	0.290000	0.450000	0.000000
CR10	<1950	0.000000	0.620000	0.000000	0.200000	0.180000	0.000000
CR10	1950s	0.650000	0.000000	0.000000	0.180000	0.170000	0.000000
CR10	1960s	0.800000	0.000000	0.130000	0.040000	0.030000	0.000000
CR10	1970s	0.560000	0.000000	0.280000	0.080000	0.080000	0.000000
CR10	1980s	0.510000	0.000000	0.290000	0.090000	0.120000	0.000000
CR10	1990s	0.230000	0.000000	0.000000	0.470000	0.300000	0.000000
CR10	2000s	0.150000	0.000000	0.000000	0.330000	0.510000	0.000000
CR11	<1950	0.000000	0.500000	0.000000	0.260000	0.240000	0.000000
CR11	1950s	0.470000	0.000000	0.000000	0.280000	0.250000	0.000000
CR11	1960s	0.480000	0.000000	0.240000	0.140000	0.140000	0.000000
CR11	1970s	0.430000	0.000000	0.270000	0.160000	0.140000	0.000000
CR11	1980s	0.460000	0.000000	0.230000	0.150000	0.170000	0.000000
CR11	1990s	0.140000	0.000000	0.000000	0.560000	0.300000	0.000000
CR11	2000s	0.140000	0.000000	0.000000	0.350000	0.520000	0.000000
