Dependency=Location	Dependency=Vintage	"Uninsulated, Vented"	"Ceiling R-7 Fiberglass, Gr-1, Vented"	"Ceiling R-13 Fiberglass, Gr-1, Vented"	"Ceiling R-19 Fiberglass, Gr-1, Vented"	"Ceiling R-30 Fiberglass, Gr-1, Vented"	"Ceiling R-38 Fiberglass, Gr-1, Vented"	"Ceiling R-49 Fiberglass, Gr-1, Vented"
CR01	pre-1950	0.00	0.04	0.14	0.16	0.28	0.13	0.26
CR01	1950s	0.00	0.03	0.08	0.14	0.23	0.15	0.36
CR01	1960s	0.00	0.01	0.04	0.16	0.36	0.09	0.34
CR01	1970s	0.00	0.01	0.07	0.12	0.22	0.19	0.39
CR01	1980s	0.00	0.00	0.01	0.08	0.27	0.40	0.23
CR01	1990s	0.00	0.00	0.01	0.00	0.16	0.14	0.70
CR01	2000s	0.00	0.00	0.00	0.00	0.01	0.14	0.86
CR02	1950s	0.00	0.03	0.08	0.14	0.23	0.15	0.36
CR03	1950s	0.03	0.08	0.14	0.23	0.15	0.28	0.08
CR04	1950s	0.03	0.08	0.14	0.23	0.15	0.28	0.08
CR05	1950s	0.03	0.08	0.14	0.23	0.15	0.28	0.08
CR06	1950s	0.03	0.08	0.14	0.23	0.15	0.28	0.08
CR07	1950s	0.03	0.08	0.14	0.23	0.15	0.28	0.08
CR08	1950s	0.03	0.08	0.14	0.23	0.15	0.28	0.08
CR09	1950s	0.11	0.14	0.23	0.15	0.28	0.08	0.00
CR10	1950s	0.11	0.14	0.23	0.15	0.28	0.08	0.00
CR11	1950s	0.11	0.14	0.23	0.15	0.28	0.08	0.00
CR12	1950s	0.11	0.14	0.23	0.15	0.28	0.08	0.00
CR02	1960s	0.00	0.01	0.04	0.16	0.36	0.09	0.34
CR03	1960s	0.01	0.04	0.16	0.36	0.09	0.26	0.08
CR04	1960s	0.01	0.04	0.16	0.36	0.09	0.26	0.08
CR05	1960s	0.01	0.04	0.16	0.36	0.09	0.26	0.08
CR06	1960s	0.01	0.04	0.16	0.36	0.09	0.26	0.08
CR07	1960s	0.01	0.04	0.16	0.36	0.09	0.26	0.08
CR08	1960s	0.01	0.04	0.16	0.36	0.09	0.26	0.08
CR09	1960s	0.04	0.16	0.36	0.09	0.26	0.08	0.00
CR10	1960s	0.04	0.16	0.36	0.09	0.26	0.08	0.00
CR11	1960s	0.04	0.16	0.36	0.09	0.26	0.08	0.00
CR12	1960s	0.04	0.16	0.36	0.09	0.26	0.08	0.00
CR02	1970s	0.00	0.01	0.07	0.12	0.22	0.19	0.39
CR03	1970s	0.01	0.07	0.12	0.22	0.19	0.31	0.08
CR04	1970s	0.01	0.07	0.12	0.22	0.19	0.31	0.08
CR05	1970s	0.01	0.07	0.12	0.22	0.19	0.31	0.08
CR06	1970s	0.01	0.07	0.12	0.22	0.19	0.31	0.08
CR07	1970s	0.01	0.07	0.12	0.22	0.19	0.31	0.08
CR08	1970s	0.01	0.07	0.12	0.22	0.19	0.31	0.08
CR09	1970s	0.08	0.12	0.22	0.19	0.31	0.08	0.00
CR10	1970s	0.08	0.12	0.22	0.19	0.31	0.08	0.00
CR11	1970s	0.08	0.12	0.22	0.19	0.31	0.08	0.00
CR12	1970s	0.08	0.12	0.22	0.19	0.31	0.08	0.00
CR02	1980s	0.00	0.00	0.01	0.08	0.27	0.40	0.23
CR03	1980s	0.00	0.01	0.08	0.27	0.40	0.22	0.02
CR04	1980s	0.00	0.01	0.08	0.27	0.40	0.22	0.02
CR05	1980s	0.00	0.01	0.08	0.27	0.40	0.22	0.02
CR06	1980s	0.00	0.01	0.08	0.27	0.40	0.22	0.02
CR07	1980s	0.00	0.01	0.08	0.27	0.40	0.22	0.02
CR08	1980s	0.00	0.01	0.08	0.27	0.40	0.22	0.02
CR09	1980s	0.01	0.08	0.27	0.40	0.22	0.02	0.00
CR10	1980s	0.01	0.08	0.27	0.40	0.22	0.02	0.00
CR11	1980s	0.01	0.08	0.27	0.40	0.22	0.02	0.00
CR12	1980s	0.01	0.08	0.27	0.40	0.22	0.02	0.00
CR02	1990s	0.00	0.00	0.00	0.01	0.20	0.26	0.54
CR03	1990s	0.00	0.00	0.00	0.00	0.53	0.44	0.03
CR04	1990s	0.00	0.00	0.00	0.02	0.57	0.39	0.03
CR05	1990s	0.00	0.00	0.00	0.02	0.48	0.33	0.17
CR06	1990s	0.00	0.01	0.00	0.16	0.14	0.58	0.12
CR07	1990s	0.00	0.00	0.00	0.12	0.60	0.22	0.05
CR08	1990s	0.00	0.00	0.00	0.09	0.66	0.18	0.06
CR09	1990s	0.00	0.00	0.00	0.27	0.64	0.08	0.01
CR10	1990s	0.00	0.00	0.00	0.18	0.54	0.28	0.00
CR11	1990s	0.00	0.00	0.00	0.17	0.71	0.12	0.01
CR12	1990s	0.01	0.00	0.16	0.14	0.58	0.12	0.00
CR02	2000s	0.00	0.00	0.00	0.01	0.21	0.25	0.53
CR03	2000s	0.00	0.00	0.00	0.06	0.21	0.50	0.24
CR04	2000s	0.00	0.00	0.00	0.05	0.54	0.32	0.10
CR05	2000s	0.00	0.00	0.00	0.02	0.34	0.33	0.31
CR06	2000s	0.00	0.00	0.00	0.01	0.14	0.65	0.21
CR07	2000s	0.00	0.00	0.00	0.07	0.52	0.31	0.10
CR08	2000s	0.00	0.00	0.00	0.05	0.57	0.34	0.04
CR09	2000s	0.00	0.00	0.00	0.13	0.70	0.16	0.01
CR10	2000s	0.00	0.00	0.00	0.01	0.62	0.34	0.03
