County,electricity_fixed_charge,electricity_marginal_rate,natural_gas_fixed_charge,natural_gas_marginal_rate,propane_fixed_charge,propane_marginal_rate,fuel_oil_fixed_charge,fuel_oil_marginal_rate,wood_fixed_charge,wood_marginal_rate
"AL, Autauga County",9.6,0.089,9.7,0.105,0,2.4,0,2.7,0,0.002
"AL, Baldwin County",9.2,0.096,8.5,0.112,0,3.6,0,4,0,0.001
"AL, Barbour County",9.3,0.094,8.3,0.082,0,3.6,0,2.8,0,0.0013
"AL, Bibb County",9.8,0.085,11,0.093,0,2.2,0,2.6,0,0.002
"AL, Blount County",11.1,0.08,9.7,0.098,0,2.5,0,2.1,0,0.0011
"AL, Bullock County",11.1,0.106,11.5,0.115,0,2.4,0,3.4,0,0.0011
"AL, Butler County",11.7,0.096,10.1,0.082,0,2.9,0,3.6,0,0.001
"AL, Calhoun County",10.2,0.101,11.8,0.092,0,3.4,0,2.6,0,0.0019
"AL, Chambers County",9.7,0.091,9.4,0.099,0,3.2,0,3.2,0,0.0014
"AL, Cherokee County",8.8,0.108,11.2,0.108,0,2.4,0,3.5,0,0.0016
"AL, Chilton County",9.9,0.118,11.8,0.093,0,2.2,0,2.6,0,0.0019
"AL, Choctaw County",8.8,0.096,10.4,0.108,0,2,0,3.7,0,0.0012
"AL, Clarke County",10.3,0.107,9.3,0.102,0,2.1,0,2.2,0,0.0019
"AL, Clay County",11.2,0.093,11.9,0.08,0,3.6,0,2.1,0,0.0019
"AL, Cleburne County",8.8,0.092,11.2,0.083,0,2.1,0,3.6,0,0.0013
"AL, Coffee County",11.6,0.087,9.9,0.097,0,3.3,0,2,0,0.002
"AL, Colbert County",9.3,0.08,11.6,0.1,0,2,0,2.7,0,0.0011
"AL, Conecuh County",10.6,0.09,9.8,0.091,0,3.5,0,3.2,0,0.001
"AL, Coosa County",11.9,0.082,8.1,0.118,0,3.6,0,2.7,0,0.0015
"AL, Covington County",8.1,0.088,10,0.118,0,2.4,0,2.9,0,0.0011
"AL, Crenshaw County",11,0.083,9.7,0.096,0,2.7,0,3.5,0,0.0018
"AL, Cullman County",9.8,0.097,11,0.09,0,2.6,0,3.4,0,0.0014
"AL, Dale County",8.3,0.095,11.3,0.107,0,3.3,0,2,0,0.0018
"AL, Dallas County",9.7,0.109,10.5,0.09,0,4,0,3.9,0,0.002
"AL, DeKalb County",11.4,0.117,8.8,0.099,0,2.3,0,3.9,0,0.0013
"AL, Elmore County",9.7,0.113,9.5,0.117,0,3.8,0,3.3,0,0.001
"AL, Escambia County",11,0.097,8.9,0.105,0,2.5,0,2.1,0,0.002
"AL, Etowah County",8.9,0.09,9.2,0.091,0,2.8,0,3,0,0.0017
"AL, Fayette County",9.8,0.12,11.5,0.111,0,3.7,0,3,0,0.0017
"AL, Franklin County",10.9,0.097,11.8,0.091,0,2.6,0,2.4,0,0.0019
"AL, Geneva County",11.1,0.091,8.8,0.09,0,2.5,0,2.6,0,0.0019
"AL, Greene County",9.4,0.086,9.5,0.084,0,2.7,0,3.7,0,0.0011
"AL, Hale County",10.7,0.111,8.2,0.119,0,2.1,0,3,0,0.0019
"AL, Henry County",11.5,0.116,11.4,0.106,0,2.1,0,3.8,0,0.001
"AL, Houston County",11.1,0.106,8.8,0.104,0,4,0,3.4,0,0.0019
"AL, Jackson County",8,0.098,10.2,0.094,0,2.7,0,3.7,0,0.0017
"AL, Jefferson County",10.4,0.116,10.8,0.118,0,2.1,0,3.9,0,0.001
"AL, Lamar County",10.5,0.113,9.4,0.116,0,2.9,0,2.1,0,0.0012
"AL, Lauderdale County",9.9,0.095,11.6,0.081,0,2.5,0,2.9,0,0.0014
"AL, Lawrence County",11.6,0.117,9.7,0.088,0,3.1,0,3.9,0,0.0016
"AL, Lee County",10.5,0.102,8.3,0.101,0,2.1,0,3,0,0.0013
"AL, Limestone County",9.5,0.11,9,0.109,0,2.4,0,3.9,0,0.0012
"AL, Lowndes County",11.8,0.12,9,0.104,0,2.2,0,2.7,0,0.0018
"AL, Macon County",10.3,0.099,10.5,0.089,0,2.3,0,2.1,0,0.0017
"AL, Madison County",10.6,0.101,10,0.099,0,3,0,2.7,0,0.0019
"AL, Marengo County",8.4,0.115,9.8,0.092,0,3,0,2.3,0,0.0019
"AL, Marion County",9.2,0.092,8,0.108,0,3.4,0,2.2,0,0.0014
"AL, Marshall County",8.9,0.115,8.2,0.104,0,2.1,0,3.5,0,0.0011
"AL, Mobile County",11.7,0.098,9.3,0.091,0,2.6,0,3.7,0,0.0011
"AL, Monroe County",,,,,,,,,,
"AL, Montgomery County",,,,,,,,,,
"AL, Morgan County",,,,,,,,,,
"AL, Perry County",,,,,,,,,,
"AL, Pickens County",,,,,,,,,,
"AL, Pike County",,,,,,,,,,
"AL, Randolph County",,,,,,,,,,
"AL, Russell County",,,,,,,,,,
"AL, Shelby County",,,,,,,,,,
"AL, St. Clair County",,,,,,,,,,
"AL, Sumter County",,,,,,,,,,
"AL, Talladega County",,,,,,,,,,
"AL, Tallapoosa County",,,,,,,,,,
"AL, Tuscaloosa County",,,,,,,,,,
"AL, Walker County",,,,,,,,,,
"AL, Washington County",,,,,,,,,,
"AL, Wilcox County",,,,,,,,,,
"AL, Winston County",,,,,,,,,,
"AR, Arkansas County",,,,,,,,,,
"AR, Ashley County",,,,,,,,,,
"AR, Baxter County",,,,,,,,,,
"AR, Benton County",,,,,,,,,,
"AR, Boone County",,,,,,,,,,
"AR, Bradley County",,,,,,,,,,
"AR, Calhoun County",,,,,,,,,,
"AR, Carroll County",,,,,,,,,,
"AR, Chicot County",,,,,,,,,,
"AR, Clark County",,,,,,,,,,
"AR, Clay County",,,,,,,,,,
"AR, Cleburne County",,,,,,,,,,
"AR, Cleveland County",,,,,,,,,,
"AR, Columbia County",,,,,,,,,,
"AR, Conway County",,,,,,,,,,
"AR, Craighead County",,,,,,,,,,
"AR, Crawford County",,,,,,,,,,
"AR, Crittenden County",,,,,,,,,,
"AR, Cross County",,,,,,,,,,
"AR, Dallas County",,,,,,,,,,
"AR, Desha County",,,,,,,,,,
"AR, Drew County",,,,,,,,,,
"AR, Faulkner County",,,,,,,,,,
"AR, Franklin County",,,,,,,,,,
"AR, Fulton County",,,,,,,,,,
"AR, Garland County",,,,,,,,,,
"AR, Grant County",,,,,,,,,,
"AR, Greene County",,,,,,,,,,
"AR, Hempstead County",,,,,,,,,,
"AR, Hot Spring County",,,,,,,,,,
"AR, Howard County",,,,,,,,,,
"AR, Independence County",,,,,,,,,,
"AR, Izard County",,,,,,,,,,
"AR, Jackson County",,,,,,,,,,
"AR, Jefferson County",,,,,,,,,,
"AR, Johnson County",,,,,,,,,,
"AR, Lafayette County",,,,,,,,,,
"AR, Lawrence County",,,,,,,,,,
"AR, Lee County",,,,,,,,,,
"AR, Lincoln County",,,,,,,,,,
"AR, Little River County",,,,,,,,,,
"AR, Logan County",,,,,,,,,,
"AR, Lonoke County",,,,,,,,,,
"AR, Madison County",,,,,,,,,,
"AR, Marion County",,,,,,,,,,
"AR, Miller County",,,,,,,,,,
"AR, Mississippi County",,,,,,,,,,
"AR, Monroe County",,,,,,,,,,
"AR, Montgomery County",,,,,,,,,,
"AR, Nevada County",,,,,,,,,,
"AR, Newton County",,,,,,,,,,
"AR, Ouachita County",,,,,,,,,,
"AR, Perry County",,,,,,,,,,
"AR, Phillips County",,,,,,,,,,
"AR, Pike County",,,,,,,,,,
"AR, Poinsett County",,,,,,,,,,
"AR, Polk County",,,,,,,,,,
"AR, Pope County",,,,,,,,,,
"AR, Prairie County",,,,,,,,,,
"AR, Pulaski County",,,,,,,,,,
"AR, Randolph County",,,,,,,,,,
"AR, Saline County",,,,,,,,,,
"AR, Scott County",,,,,,,,,,
"AR, Searcy County",,,,,,,,,,
"AR, Sebastian County",,,,,,,,,,
"AR, Sevier County",,,,,,,,,,
"AR, Sharp County",,,,,,,,,,
"AR, St. Francis County",,,,,,,,,,
"AR, Stone County",,,,,,,,,,
"AR, Union County",,,,,,,,,,
"AR, Van Buren County",,,,,,,,,,
"AR, Washington County",,,,,,,,,,
"AR, White County",,,,,,,,,,
"AR, Woodruff County",,,,,,,,,,
"AR, Yell County",,,,,,,,,,
"AZ, Apache County",,,,,,,,,,
"AZ, Cochise County",,,,,,,,,,
"AZ, Coconino County",,,,,,,,,,
"AZ, Gila County",,,,,,,,,,
"AZ, Graham County",,,,,,,,,,
"AZ, Greenlee County",,,,,,,,,,
"AZ, La Paz County",,,,,,,,,,
"AZ, Maricopa County",,,,,,,,,,
"AZ, Mohave County",,,,,,,,,,
"AZ, Navajo County",,,,,,,,,,
"AZ, Pima County",,,,,,,,,,
"AZ, Pinal County",,,,,,,,,,
"AZ, Santa Cruz County",,,,,,,,,,
"AZ, Yavapai County",,,,,,,,,,
"AZ, Yuma County",,,,,,,,,,
"CA, Alameda County",,,,,,,,,,
"CA, Alpine County",,,,,,,,,,
"CA, Amador County",,,,,,,,,,
"CA, Butte County",,,,,,,,,,
"CA, Calaveras County",,,,,,,,,,
"CA, Colusa County",,,,,,,,,,
"CA, Contra Costa County",,,,,,,,,,
"CA, Del Norte County",,,,,,,,,,
"CA, El Dorado County",,,,,,,,,,
"CA, Fresno County",,,,,,,,,,
"CA, Glenn County",,,,,,,,,,
"CA, Humboldt County",,,,,,,,,,
"CA, Imperial County",,,,,,,,,,
"CA, Inyo County",,,,,,,,,,
"CA, Kern County",,,,,,,,,,
"CA, Kings County",,,,,,,,,,
"CA, Lake County",,,,,,,,,,
"CA, Lassen County",,,,,,,,,,
"CA, Los Angeles County",,,,,,,,,,
"CA, Madera County",,,,,,,,,,
"CA, Marin County",,,,,,,,,,
"CA, Mariposa County",,,,,,,,,,
"CA, Mendocino County",,,,,,,,,,
"CA, Merced County",,,,,,,,,,
"CA, Modoc County",,,,,,,,,,
"CA, Mono County",,,,,,,,,,
"CA, Monterey County",,,,,,,,,,
"CA, Napa County",,,,,,,,,,
"CA, Nevada County",,,,,,,,,,
"CA, Orange County",,,,,,,,,,
"CA, Placer County",,,,,,,,,,
"CA, Plumas County",,,,,,,,,,
"CA, Riverside County",,,,,,,,,,
"CA, Sacramento County",,,,,,,,,,
"CA, San Benito County",,,,,,,,,,
"CA, San Bernardino County",,,,,,,,,,
"CA, San Diego County",,,,,,,,,,
"CA, San Francisco County",,,,,,,,,,
"CA, San Joaquin County",,,,,,,,,,
"CA, San Luis Obispo County",,,,,,,,,,
"CA, San Mateo County",,,,,,,,,,
"CA, Santa Barbara County",,,,,,,,,,
"CA, Santa Clara County",,,,,,,,,,
"CA, Santa Cruz County",,,,,,,,,,
"CA, Shasta County",,,,,,,,,,
"CA, Sierra County",,,,,,,,,,
"CA, Siskiyou County",,,,,,,,,,
"CA, Solano County",,,,,,,,,,
"CA, Sonoma County",,,,,,,,,,
"CA, Stanislaus County",,,,,,,,,,
"CA, Sutter County",,,,,,,,,,
"CA, Tehama County",,,,,,,,,,
"CA, Trinity County",,,,,,,,,,
"CA, Tulare County",,,,,,,,,,
"CA, Tuolumne County",,,,,,,,,,
"CA, Ventura County",,,,,,,,,,
"CA, Yolo County",,,,,,,,,,
"CA, Yuba County",,,,,,,,,,
"CO, Adams County",,,,,,,,,,
"CO, Alamosa County",,,,,,,,,,
"CO, Arapahoe County",,,,,,,,,,
"CO, Archuleta County",,,,,,,,,,
"CO, Baca County",,,,,,,,,,
"CO, Bent County",,,,,,,,,,
"CO, Boulder County",,,,,,,,,,
"CO, Broomfield County",,,,,,,,,,
"CO, Chaffee County",,,,,,,,,,
"CO, Cheyenne County",,,,,,,,,,
"CO, Clear Creek County",,,,,,,,,,
"CO, Conejos County",,,,,,,,,,
"CO, Costilla County",,,,,,,,,,
"CO, Crowley County",,,,,,,,,,
"CO, Custer County",,,,,,,,,,
"CO, Delta County",,,,,,,,,,
"CO, Denver County",,,,,,,,,,
"CO, Dolores County",,,,,,,,,,
"CO, Douglas County",,,,,,,,,,
"CO, Eagle County",,,,,,,,,,
"CO, El Paso County",,,,,,,,,,
"CO, Elbert County",,,,,,,,,,
"CO, Fremont County",,,,,,,,,,
"CO, Garfield County",,,,,,,,,,
"CO, Gilpin County",,,,,,,,,,
"CO, Grand County",,,,,,,,,,
"CO, Gunnison County",,,,,,,,,,
"CO, Hinsdale County",,,,,,,,,,
"CO, Huerfano County",,,,,,,,,,
"CO, Jackson County",,,,,,,,,,
"CO, Jefferson County",,,,,,,,,,
"CO, Kiowa County",,,,,,,,,,
