Dependency=Location Region	Dependency=Vintage	"Option=Uninsulated, Vented"	"Option=Ceiling R-7, Vented"	"Option=Ceiling R-13, Vented"	"Option=Ceiling R-19, Vented"	"Option=Ceiling R-30, Vented"	"Option=Ceiling R-38, Vented"	"Option=Ceiling R-49, Vented"
CR02	<1950	0	0.04	0.14	0.16	0.28	0.13	0.26
CR05	<1950	0.04	0.14	0.16	0.28	0.13	0.22	0.04
CR03	<1950	0.04	0.14	0.16	0.28	0.13	0.22	0.04
CR04	<1950	0.04	0.14	0.16	0.28	0.13	0.22	0.04
CR06	<1950	0.04	0.14	0.16	0.28	0.13	0.22	0.04
CR07	<1950	0.04	0.14	0.16	0.28	0.13	0.22	0.04
CR08	<1950	0.04	0.14	0.16	0.28	0.13	0.22	0.04
CR09	<1950	0.18	0.16	0.28	0.13	0.22	0.04	0
CR10	<1950	0.18	0.16	0.28	0.13	0.22	0.04	0
CR11	<1950	0.18	0.16	0.28	0.13	0.22	0.04	0
CR02	1950s	0	0.03	0.08	0.14	0.23	0.15	0.36
CR05	1950s	0.03	0.08	0.14	0.23	0.15	0.28	0.08
CR03	1950s	0.03	0.08	0.14	0.23	0.15	0.28	0.08
CR04	1950s	0.03	0.08	0.14	0.23	0.15	0.28	0.08
CR06	1950s	0.03	0.08	0.14	0.23	0.15	0.28	0.08
CR07	1950s	0.03	0.08	0.14	0.23	0.15	0.28	0.08
CR08	1950s	0.03	0.08	0.14	0.23	0.15	0.28	0.08
CR09	1950s	0.11	0.14	0.23	0.15	0.28	0.08	0
CR10	1950s	0.11	0.14	0.23	0.15	0.28	0.08	0
CR11	1950s	0.11	0.14	0.23	0.15	0.28	0.08	0
CR02	1960s	0	0.01	0.04	0.16	0.36	0.09	0.34
CR05	1960s	0.01	0.04	0.16	0.36	0.09	0.26	0.08
CR03	1960s	0.01	0.04	0.16	0.36	0.09	0.26	0.08
CR04	1960s	0.01	0.04	0.16	0.36	0.09	0.26	0.08
CR06	1960s	0.01	0.04	0.16	0.36	0.09	0.26	0.08
CR07	1960s	0.01	0.04	0.16	0.36	0.09	0.26	0.08
CR08	1960s	0.01	0.04	0.16	0.36	0.09	0.26	0.08
CR09	1960s	0.04	0.16	0.36	0.09	0.26	0.08	0
CR10	1960s	0.04	0.16	0.36	0.09	0.26	0.08	0
CR11	1960s	0.04	0.16	0.36	0.09	0.26	0.08	0
CR02	1970s	0	0.01	0.07	0.12	0.22	0.19	0.39
CR05	1970s	0.01	0.07	0.12	0.22	0.19	0.31	0.08
CR03	1970s	0.01	0.07	0.12	0.22	0.19	0.31	0.08
CR04	1970s	0.01	0.07	0.12	0.22	0.19	0.31	0.08
CR06	1970s	0.01	0.07	0.12	0.22	0.19	0.31	0.08
CR07	1970s	0.01	0.07	0.12	0.22	0.19	0.31	0.08
CR08	1970s	0.01	0.07	0.12	0.22	0.19	0.31	0.08
CR09	1970s	0.08	0.12	0.22	0.19	0.31	0.08	0
CR10	1970s	0.08	0.12	0.22	0.19	0.31	0.08	0
CR11	1970s	0.08	0.12	0.22	0.19	0.31	0.08	0
CR02	1980s	0	0	0.01	0.08	0.27	0.4	0.23
CR05	1980s	0	0.01	0.08	0.27	0.4	0.22	0.02
CR03	1980s	0	0.01	0.08	0.27	0.4	0.22	0.02
CR04	1980s	0	0.01	0.08	0.27	0.4	0.22	0.02
CR06	1980s	0	0.01	0.08	0.27	0.4	0.22	0.02
CR07	1980s	0	0.01	0.08	0.27	0.4	0.22	0.02
CR08	1980s	0	0.01	0.08	0.27	0.4	0.22	0.02
CR09	1980s	0.01	0.08	0.27	0.4	0.22	0.02	0
CR10	1980s	0.01	0.08	0.27	0.4	0.22	0.02	0
CR11	1980s	0.01	0.08	0.27	0.4	0.22	0.02	0
CR02	1990s	0	0	0	0.01	0.2	0.26	0.54
CR05	1990s	0	0	0	0	0.53	0.44	0.03
CR03	1990s	0	0	0	0.02	0.57	0.39	0.03
CR04	1990s	0	0	0	0.02	0.48	0.33	0.17
CR06	1990s	0	0.01	0	0.16	0.14	0.58	0.12
CR07	1990s	0	0	0	0.12	0.6	0.22	0.05
CR08	1990s	0	0	0	0.09	0.66	0.18	0.06
CR09	1990s	0	0	0	0.27	0.64	0.08	0.01
CR10	1990s	0	0	0	0.18	0.54	0.28	0
CR11	1990s	0	0	0	0.17	0.71	0.12	0.01
CR02	2000s	0	0	0	0.01	0.21	0.25	0.53
CR05	2000s	0	0	0	0.06	0.21	0.5	0.24
CR03	2000s	0	0	0	0.05	0.54	0.32	0.1
CR04	2000s	0	0	0	0.02	0.34	0.33	0.31
CR06	2000s	0	0	0	0.01	0.14	0.65	0.21
CR07	2000s	0	0	0	0.07	0.52	0.31	0.1
CR08	2000s	0	0	0	0.05	0.57	0.34	0.04
CR09	2000s	0	0	0	0.13	0.7	0.16	0.01
CR10	2000s	0	0	0	0.01	0.62	0.34	0.03
CR11	2000s	0	0	0	0.11	0.58	0.28	0.04
