S,h
12145,0.520664
12155,0.597142
12156,0.597142
12165,0.399768
12174,0.524913
12175,0.524913
12184,0.646582
12194,0.722287
12195,0.722287
12672,0.639243
12682,0.905755
12692,0.618772
12693,0.618772
12701,0.552337
12702,0.552337
12709,0.656624
12710,0.656624
12711,0.347625
12712,0.347625
12719,0.578602
12728,0.952491
12738,0.373503
12748,0.364233
12749,0.364233
13870,0.562766
13871,0.562766
13880,0.315566
13890,0.630745
13899,0.419081
13900,0.419081
13909,0.819621
14353,0.873310
14363,0.495558
14372,0.449594
14373,0.449594
14382,0.325222
14383,0.325222
14392,0.383160
14393,0.383160
14402,0.592121
14403,0.592121
18410,0.438393
18411,0.438393
18420,0.623793
18430,0.431054
18431,0.431054
18439,0.492468
19841,0.660873
19851,0.384318
19861,0.636153
19871,0.424874
19872,0.424874
25664,0.446118
25665,0.446118
25673,0.789108
25683,0.405948
25684,0.405948
25693,0.364233
27930,0.393588
27931,0.393588
27940,0.466203
27941,0.466203
27950,0.299343
27951,0.299343
27960,0.966783
27969,0.495944
29623,0.531866
29624,0.531866
29633,0.359598
29634,0.359598
29642,0.771727
29652,0.626497
32855,0.549247
32865,0.511008
32874,0.667439
32884,0.471997
34058,0.783700
34067,0.763229
34077,0.786404
34087,0.469679
34088,0.469679
34209,0.430668
34210,0.430668
34218,0.438393
34219,0.438393
34228,0.406721
34229,0.406721
34238,0.396292
34239,0.396292
34248,0.577443
34258,0.447277
35714,0.519892
35715,0.519892
35724,0.322132
35725,0.322132
35733,0.567014
35734,0.567014
35743,0.497103
35744,0.497103
35753,0.462341
35754,0.462341
35755,0.462341
36493,0.454616
36494,0.454616
36502,0.452298
36503,0.452298
36512,0.466203
36522,0.474314
36532,0.627269
36533,0.627269
38693,0.419467
38694,0.419467
38703,0.580533
38713,0.507532
38714,0.507532
38723,0.571649
41696,0.949015
41706,0.644650
41707,0.644650
41716,0.521437
41717,0.521437
41726,0.452298
41736,0.524913
41737,0.524913
49549,0.754732
49559,0.592121
49568,0.507146
49578,0.646582
52686,0.423329
52687,0.423329
52696,0.828119
52706,0.516802
52716,0.557744
52726,0.464272
55868,0.816145
55878,0.555813
55879,0.555813
55880,0.555813
55887,0.458864
55888,0.458864
55897,0.531866
65406,0.509463
65407,0.509463
65415,0.604867
65425,0.751642
65435,0.558903
65445,0.866744
66143,0.714175
66153,0.497489
66154,0.497489
66162,0.470066
66163,0.470066
66172,0.471224
66173,0.471224
68850,0.561607
68860,0.451526
68870,0.574739
68880,0.354191
68881,0.354191
68929,0.654307
68939,0.382773
68948,0.696794
68949,0.696794
71683,0.501738
71684,0.501738
71692,0.487061
71702,0.357281
71712,0.673619
71722,0.444959
71723,0.444959
72527,0.455002
72528,0.455002
72537,0.645423
72546,0.487833
72547,0.487833
72556,0.453071
73175,0.720742
73185,0.620317
73195,0.952105
73205,0.312862
73206,0.312862
73215,0.514871
73216,0.514871
73217,0.514871
73218,0.514871
73224,0.493241
73225,0.493241
78144,0.809579
78154,0.646968
78164,0.772499
78174,0.547316
78175,0.547316
78183,0.646582
78193,0.484743
78194,0.484743
80275,0.413673
80276,0.413673
80284,0.348011
80285,0.348011
80286,0.348011
80294,0.478563
80304,0.617613
80314,0.524527
86918,0.688683
86928,0.966396
86938,0.486674
86948,0.596369
86958,0.811510
91975,0.586327
91985,0.427578
91986,0.427578
91995,0.537659
92004,0.793357
93041,0.415218
93051,0.433758
93052,0.433758
93061,0.731943
93070,0.730012
99232,0.714562
99242,0.447277
99243,0.447277
99252,0.641174
99253,0.641174
99262,0.553882
99271,0.491309
101971,0.379297
101972,0.379297
101981,0.727308
101991,0.569718
102001,0.802626
102011,0.503283
102012,0.503283
106454,0.431054
106455,0.431054
106464,0.371186
106474,0.419081
106475,0.419081
106483,0.346080
106493,0.529162
110148,0.811896
110157,0.534183
110167,0.737350
110177,0.633063
110178,0.633063
110588,0.418694
110589,0.418694
110597,0.781383
110607,0.789108
110617,0.455388
110618,0.455388
112918,0.652762
112927,0.417922
112928,0.417922
112937,0.748165
112947,0.980688
117607,0.466203
117617,0.333720
117618,0.333720
117626,0.548474
117636,0.659714
126194,1.000000
126203,0.911935
126213,0.376593
126214,0.376593
126223,0.609115
126233,0.528776
126242,0.361916
127806,0.452298
127816,0.722287
127826,0.431441
127827,0.431441
127836,0.859791
128597,0.291232
128607,0.675937
128617,0.539591
128618,0.539591
128627,0.402858
128628,0.402858
129267,0.726922
129277,0.745075
129287,0.620317
129297,0.533024
129307,0.429509
129308,0.429509
132999,0.636539
133009,0.418694
133010,0.418694
133019,0.446504
133029,0.590962
133030,0.590962
133039,0.925840
133048,0.755504
135942,0.639243
135943,0.639243
135952,0.613364
135953,0.613364
135962,0.826188
135972,0.760139
135973,0.760139
136479,0.723059
136489,0.575126
136499,0.524913
136509,0.323677
136519,0.432986
136520,0.432986
136528,0.593666
136529,0.593666
140982,0.661645
140992,0.502124
141001,0.484743
141002,0.484743
141011,0.424488
141012,0.424488
141021,0.601390
141022,0.601390
141057,0.664735
141067,0.770568
141077,0.543453
141086,0.828505
141533,0.488219
141543,0.499421
141544,0.499421
141553,0.726535
141563,0.714562
141573,0.375821
141574,0.375821
141575,0.375821
141582,0.402858
141583,0.402858
142078,0.443414
142088,0.376207
142089,0.376207
142098,0.787177
142107,0.385477
142108,0.385477
142205,0.615295
142215,0.405948
142216,0.405948
142225,0.632677
142234,0.356895
142235,0.356895
142244,0.708768
142254,0.375435
142255,0.375435
143320,0.793743
143321,0.793743
143330,0.614909
143340,0.657010
143349,0.476632
143359,0.867130
143369,0.592507
143370,0.592507
144559,0.577829
144560,0.577829
144569,0.610660
144578,0.513712
144588,0.602163
144598,0.676709
145823,0.543453
145833,0.541522
145843,0.245655
145844,0.245655
145852,0.612978
145853,0.612978
156202,0.409811
156212,0.780610
156222,0.421784
156223,0.421784
156231,0.561221
158276,0.570104
158277,0.570104
158286,0.903824
158295,0.697180
158305,0.441097
158306,0.441097
158315,0.713017
158325,0.801468
160555,0.551951
160565,0.379683
160575,0.604867
160585,0.664349
160594,0.350715
166440,0.678640
166449,0.373890
166459,0.636153
166469,0.836230
166470,0.836230
166756,0.425647
166757,0.425647
166766,0.954809
166775,0.335651
166776,0.335651
166785,0.402086
166786,0.402086
166795,0.951719
166805,0.559289
166806,0.559289
169720,0.500966
169730,0.542294
169740,0.258015
169750,0.617999
169759,0.491309
173535,0.568559
173536,0.568559
173545,0.453843
173555,0.784859
173565,0.397065
173566,0.397065
176126,0.783700
176135,0.467362
176145,0.664349
176155,0.460023
176156,0.460023
176208,0.554654
176218,0.777134
176228,0.657397
176237,0.762843
176247,0.412514
176248,0.412514
176257,0.561993
177080,0.472769
177081,0.472769
177090,0.381228
177091,0.381228
177099,0.441097
177100,0.441097
177109,0.481653
177119,0.599846
177120,0.599846
177129,0.439166
177130,0.439166
179302,0.662032
179312,0.701429
179321,0.517188
179331,0.815373
179341,0.431827
182060,0.696794
182069,0.533024
182079,0.779452
184169,0.370027
184170,0.370027
184179,0.687138
184189,0.450367
184190,0.450367
184199,0.283121
184200,0.283121
184215,0.345307
184224,0.428351
184234,0.618772
184244,0.595211
185097,0.610274
185106,0.908073
185116,0.358440
185126,0.495558
185127,0.495558
185136,0.694863
185137,0.694863
185145,0.670915
190978,0.618772
190988,0.429896
190989,0.429896
190998,0.589803
190999,0.589803
191007,0.936655
191017,0.658942
191027,0.354577
191028,0.354577
192678,0.567014
192688,0.416763
192698,0.509849
192699,0.509849
192707,0.725763
192717,0.681730
192718,0.681730
194263,0.391271
194264,0.391271
194273,0.421398
194274,0.421398
194283,0.614137
194292,0.567401
194302,0.598301
195056,0.380456
195057,0.380456
195066,0.480881
195075,0.621475
195085,0.499807
195095,0.689069
195105,0.848590
200651,0.765160
200660,0.536887
200670,0.389340
200671,0.389340
200680,0.565469
200681,0.565469
200690,0.407493
200691,0.407493
200700,0.591348
200701,0.591348
201290,0.623407
201300,0.786790
201310,0.593666
201311,0.593666
201320,0.575512
201321,0.575512
202903,0.570877
202904,0.570877
202913,0.538432
202914,0.538432
202922,0.497103
202932,0.580147
204182,0.495944
204183,0.495944
204192,0.840865
204202,0.669370
206804,0.696408
206814,0.804944
206815,0.804944
206824,0.500193
206825,0.500193
206834,0.694090
206844,0.693704
217269,0.815759
217279,0.620317
217288,0.719583
217298,0.697567
218404,0.562379
218414,0.653148
218423,0.659714
218433,0.460796
218434,0.460796
218443,0.423716
218453,0.351487
218454,0.351487
218964,0.702202
218973,0.718424
218983,0.608343
218984,0.608343
218993,0.515643
218994,0.515643
219859,0.588258
219869,0.447277
219878,0.380456
219879,0.380456
219888,0.677868
219898,0.617999
222724,0.735033
222734,0.896099
222744,0.623407
222753,0.320973
224177,0.572036
224178,0.572036
224187,0.556972
224197,0.715720
224198,0.715720
224206,0.415218
224207,0.415218
225646,0.827733
225656,0.675937
225666,0.649672
225675,0.626110
226696,0.686752
226705,0.602163
229473,0.462727
229474,0.462727
229483,0.436848
229484,0.436848
229493,0.468907
229503,0.496717
229512,0.461954
229522,0.526072
229523,0.526072
229872,0.779065
229881,0.755118
229891,0.729625
232484,0.591348
232494,0.786790
232504,0.418308
232514,0.474314
232524,0.536501
232525,0.536501
232533,0.366937
232534,0.366937
234590,0.405176
234599,0.607570
234609,0.830436
234619,0.671688
234620,0.671688
236017,0.703747
236027,0.782542
236037,0.489764
236038,0.489764
236047,0.596369
236048,0.596369
236056,0.351101
236057,0.351101
236066,0.506373
236067,0.506373
238121,0.577829
238131,0.533411
238132,0.533411
238141,0.722287
238150,0.556199
238160,0.560834
238170,0.387408
238171,0.387408
240054,0.377752
240055,0.377752
240064,0.475473
240065,0.475473
240074,0.517188
240075,0.517188
240084,0.444573
240093,0.421784
240094,0.421784
240972,0.561221
240973,0.561221
240982,0.519506
240992,0.369255
240993,0.369255
241002,0.722287
241011,0.362302
241012,0.362302
241021,0.881421
241604,0.846273
241613,0.494399
241614,0.494399
241620,0.446504
241621,0.446504
241623,0.980301
241629,0.591348
241630,0.591348
241633,0.402086
241634,0.402086
241639,0.803785
241643,0.405562
241644,0.405562
241649,0.773658
241652,0.445346
241653,0.445346
241659,0.396292
241660,0.396292
241669,0.566628
241678,0.441483
241688,0.783314
241698,0.534956
241708,0.463886
241717,0.684820
244588,0.584009
244598,0.637698
244608,0.757435
244618,0.475473
244619,0.475473
244627,0.481267
244628,0.481267
244637,0.787949
246985,0.513326
246995,0.939745
247005,0.845886
247015,0.491696
248417,0.773658
248427,0.724604
248437,0.450753
248438,0.450753
248447,0.387795
248448,0.387795
248948,0.567014
248949,0.567014
248958,0.384318
248959,0.384318
248968,0.381228
248969,0.381228
248978,0.547316
248987,0.657397
248988,0.657397
248997,0.584009
251916,0.633449
251926,0.590962
251936,0.458092
252635,0.385091
252636,0.385091
252645,0.467362
252654,0.685207
255393,0.434917
255403,0.641560
255413,0.650444
255423,0.458478
255424,0.458478
255433,0.706064
255442,0.725763
255697,0.520278
255698,0.520278
255706,0.575898
255716,0.813055
255726,0.525686
256077,0.814214
256086,0.753959
256096,0.444573
256097,0.444573
256106,0.500193
256116,0.668598
257326,0.594824
257336,0.579761
257345,0.503669
257346,0.503669
257355,0.551178
257356,0.551178
260319,0.630745
260329,0.623407
260338,0.450753
260339,0.450753
260348,0.456547
260349,0.456547
260358,0.513712
263289,0.682889
263298,0.405562
263308,0.398610
263309,0.398610
263318,0.690614
263328,0.573581
263329,0.573581
263338,0.648899
264982,0.959444
264992,0.361916
264993,0.361916
265002,0.523368
265012,0.473928
265856,0.351873
265866,0.805330
265876,0.740827
265885,0.444573
265886,0.444573
268442,0.481653
268443,0.481653
268452,0.597914
268461,0.463113
268462,0.463113
268471,0.415218
268472,0.415218
280095,0.723445
280105,0.559676
280106,0.559676
280115,0.497489
280116,0.497489
280124,0.705678
280134,0.597142
280555,0.509463
280565,0.716879
280574,0.667825
280584,0.499034
280594,0.718810
281820,0.422171
281821,0.422171
281829,0.787563
281839,0.445346
281840,0.445346
284917,0.779065
284927,0.397837
284928,0.397837
284937,0.560834
284947,0.690614
284957,0.821939
291903,0.561607
291913,0.785632
291923,0.540363
291924,0.540363
291932,0.754345
291942,0.572036
291952,0.567401
291953,0.567401
293050,0.603708
293060,0.519892
293061,0.519892
293069,0.808420
293079,0.702588
293089,0.638470
298022,0.551564
298023,0.551564
298032,0.900348
298041,0.605253
298051,0.768637
303384,0.664735
303393,0.492854
303394,0.492854
303403,0.640788
303404,0.640788
303413,0.443414
303423,0.684434
303432,0.527617
304250,0.455388
304259,0.762843
304269,0.763615
304279,0.633063
305035,0.721128
305045,0.383932
305046,0.383932
