S,h
51,0.078219
364,0.457882
379,0.092359
387,0.101685
536,0.098676
559,0.012335
561,0.012034
563,0.045427
565,0.364320
567,0.086643
572,0.006919
574,0.363418
664,0.051444
673,0.041215
713,0.011432
738,0.021661
850,0.074007
852,0.324007
886,0.067389
924,0.061372
1002,0.017449
1045,0.068592
1053,0.005716
1079,0.570397
1092,0.003911
1094,0.820999
1124,0.016546
1126,0.145909
1127,0.014440
1128,0.014440
1181,0.031588
1183,0.453971
1185,0.040012
1187,0.021661
1189,0.036101
1190,0.148616
1192,0.040614
1194,0.140794
1196,0.229242
1225,0.203369
1243,0.309266
1244,0.309266
1278,0.057461
1280,0.209085
1288,0.113718
1289,0.148014
1291,0.150722
1292,0.138087
1294,0.183514
1296,0.024669
1322,0.022262
1340,0.141998
1399,0.852587
1871,0.005415
1905,0.000903
1939,0.116426
2004,0.224729
2158,0.091456
2194,0.081829
2196,0.052647
2197,0.147413
2198,0.030686
2199,0.280987
2201,0.127557
2203,0.591757
2267,0.010529
2344,0.132671
2415,0.027677
2606,0.017449
2738,0.361913
2815,0.080626
2817,0.068291
3195,0.096570
3196,0.096570
3334,0.376053
3368,0.301745
3427,0.138087
3505,0.231348
3628,0.251504
3630,0.234958
3632,0.036703
3720,0.048736
3820,0.179001
3821,0.179001
3826,0.346570
3900,0.186823
3913,0.262034
3950,0.036703
3990,0.311071
4044,0.554452
4117,0.175090
4119,0.114019
4187,0.025271
4207,0.082431
4209,0.101685
4211,0.343261
4213,0.022563
4295,0.142900
4561,0.003610
4563,0.414862
4564,0.414862
4597,0.003008
4773,0.204272
4798,0.014140
4799,0.014140
4800,0.014140
4801,0.014140
4817,0.014140
5045,0.014440
5065,0.006318
5187,0.128761
5208,0.054152
5381,0.189230
5391,0.324910
5393,0.045728
5419,0.138688
5423,0.214801
5425,0.207882
5426,0.207882
5427,0.029483
5429,0.339049
5541,0.036402
5546,0.100782
5548,0.044224
5566,0.187425
5568,0.000903
5615,0.351384
5616,0.351384
5621,0.056558
5623,0.616426
6165,0.128761
6227,0.258123
6251,0.163057
6282,0.425993
6284,0.422984
6286,0.043923
6300,0.235860
6301,0.235860
6302,0.108905
6303,0.856498
6305,0.009025
6307,0.165463
6308,0.034597
6335,0.365824
6374,0.338448
6376,0.429603
6412,0.135379
6414,0.179001
6415,0.497292
6480,0.047533
6567,0.147714
6570,0.140493
6572,0.173887
6573,0.065584
6633,0.013839
6643,0.110108
6645,0.049940
6700,0.047834
6702,0.015042
6704,0.424489
6790,0.024067
6812,0.016847
6942,0.484356
6944,0.146811
6946,0.336041
6948,0.060770
7023,0.046029
7032,0.274970
7034,0.246390
7043,0.055355
7067,0.084236
7093,0.008123
7143,0.014741
7722,0.071901
7724,0.145307
7748,0.039711
7750,0.075211
7765,0.181709
7818,0.107100
7820,0.553550
7821,0.294525
7822,0.294525
7838,0.002708
7840,0.015644
7853,0.105295
7855,0.303550
7882,0.025872
7914,0.440734
7982,0.157942
7984,0.057762
8013,0.018051
8152,0.082431
8154,0.290012
8185,0.482551
8186,0.147112
8202,0.085439
8259,0.046330
8329,0.029182
8331,0.558664
8333,0.011733
8335,0.136282
8337,0.026775
8387,0.255415
8389,0.320397
8514,0.363718
8516,0.449158
8526,0.151324
8527,0.189230
8529,0.007220
8634,0.009025
8919,0.125752
8996,0.017750
9009,0.291817
9136,0.003911
9138,0.083333
9140,0.037304
9141,0.150120
9143,0.171480
9150,0.233755
9202,0.007822
9236,0.493983
9237,0.493983
9304,0.011131
9306,0.055656
9336,0.000903
9338,0.056558
9340,0.015042
