S,h
4130,0.661122
4131,0.661122
4132,0.661122
4133,0.661122
4134,0.661122
6209,0.657598
6210,0.657598
6211,0.657598
6212,0.657598
6213,0.657598
6214,0.657598
6215,0.657598
9750,0.759092
9751,0.759092
9752,0.759092
9753,0.759092
9754,0.759092
9755,0.759092
11316,0.751198
11317,0.751198
11318,0.751198
11319,0.751198
11320,0.751198
11321,0.751198
11322,0.751198
21095,0.628982
21096,0.628982
21097,0.628982
21098,0.628982
21099,0.628982
21100,0.628982
21101,0.628982
21102,0.628982
21394,0.406964
21395,0.406964
21396,0.406964
21397,0.406964
21398,0.406964
21399,0.406964
21400,0.406964
21401,0.406964
21402,0.406964
23747,0.374824
23748,0.374824
23749,0.374824
23750,0.374824
23751,0.374824
26596,0.608683
26597,0.608683
26598,0.608683
26599,0.608683
26600,0.608683
26601,0.608683
29315,0.532845
29316,0.532845
29317,0.532845
29318,0.532845
29319,0.532845
29320,0.532845
29321,0.532845
29322,0.532845
29901,0.716803
29902,0.716803
29903,0.716803
29904,0.716803
29905,0.716803
29906,0.716803
29907,0.716803
31337,0.338878
31338,0.338878
31339,0.338878
31340,0.338878
32844,0.338596
32845,0.338596
32846,0.338596
32847,0.338596
32848,0.338596
32849,0.338596
32850,0.338596
32851,0.338596
34934,0.567522
34935,0.567522
34936,0.567522
34937,0.567522
34938,0.567522
34939,0.567522
34940,0.567522
35908,0.912179
35909,0.912179
35910,0.912179
35911,0.912179
35912,0.912179
35913,0.912179
35914,0.912179
35915,0.912179
36790,0.838878
36791,0.838878
36792,0.838878
36793,0.838878
36794,0.838878
38656,0.814632
38657,0.814632
38658,0.814632
38659,0.814632
38660,0.814632
38661,0.814632
38662,0.814632
38663,0.814632
43970,0.731604
43971,0.731604
43972,0.731604
43973,0.731604
43974,0.731604
43975,0.731604
45823,0.371441
45824,0.371441
45825,0.371441
45826,0.371441
45827,0.371441
45828,0.371441
45829,0.371441
51648,0.306033
51649,0.306033
51650,0.306033
51651,0.306033
51652,0.306033
51653,0.306033
51712,0.804483
51713,0.804483
51714,0.804483
59534,0.379194
59535,0.379194
59536,0.379194
59537,0.379194
59538,0.379194
59539,0.379194
61658,0.844939
61659,0.844939
61660,0.844939
61661,0.844939
61662,0.844939
61663,0.844939
70407,0.429800
70408,0.429800
70409,0.429800
70410,0.429800
70411,0.429800
70412,0.429800
70413,0.429800
71415,0.277699
71416,0.277699
71417,0.277699
71418,0.277699
71749,0.816747
71750,0.816747
71751,0.816747
71752,0.816747
71753,0.816747
71754,0.816747
71755,0.816747
72928,0.508740
72929,0.508740
72930,0.508740
72931,0.508740
72932,0.508740
72933,0.508740
73461,0.668452
73462,0.668452
73463,0.668452
73464,0.668452
73465,0.668452
73466,0.668452
73467,0.668452
73468,0.668452
81968,0.613053
81969,0.613053
81970,0.613053
81971,0.613053
81972,0.613053
89649,0.362278
89650,0.362278
89651,0.362278
89652,0.362278
89653,0.362278
89654,0.362278
90308,0.631661
90309,0.631661
90310,0.631661
90311,0.631661
90312,0.631661
104386,0.791373
104387,0.791373
104388,0.791373
104389,0.791373
104390,0.791373
104391,0.791373
104392,0.791373
104393,0.791373
112259,0.621088
112260,0.621088
112261,0.621088
112262,0.621088
112263,0.621088
112264,0.621088
112265,0.621088
112266,0.621088
112267,0.621088
112268,0.621088
114980,0.620242
114981,0.620242
114982,0.620242
114983,0.620242
114984,0.620242
114985,0.620242
114986,0.620242
114987,0.620242
117666,0.417395
117667,0.417395
117668,0.417395
117669,0.417395
117670,0.417395
117671,0.417395
117672,0.417395
117673,0.417395
117674,0.417395
117675,0.417395
123412,0.712292
123413,0.712292
123414,0.712292
123415,0.712292
123416,0.712292
123417,0.712292
123418,0.712292
125987,0.654497
125988,0.654497
125989,0.654497
125990,0.654497
125991,0.654497
132242,0.668311
132243,0.668311
132244,0.668311
132245,0.668311
132246,0.668311
132247,0.668311
132248,0.668311
132249,0.668311
138120,0.646321
138121,0.646321
138122,0.646321
138123,0.646321
138124,0.646321
138125,0.646321
138126,0.646321
140529,0.585565
140530,0.585565
140531,0.585565
140532,0.585565
140533,0.585565
140534,0.585565
140535,0.585565
140536,0.585565
140537,0.585565
140538,0.585565
143034,0.776713
143035,0.776713
143036,0.776713
143037,0.776713
143038,0.776713
145755,0.390894
145756,0.390894
145757,0.390894
145758,0.390894
145759,0.390894
145760,0.390894
148319,0.954046
148320,0.954046
148321,0.954046
148322,0.954046
148323,0.954046
151722,0.969552
151723,0.969552
151724,0.969552
151725,0.969552
151726,0.969552
151995,0.726670
151996,0.726670
151997,0.726670
151998,0.726670
151999,0.726670
152000,0.726670
156040,0.532986
156041,0.532986
156042,0.532986
163808,0.465182
163809,0.465182
163810,0.465182
163811,0.465182
163812,0.465182
167722,0.553425
167723,0.553425
167724,0.553425
167725,0.553425
167726,0.553425
169664,0.438540
169665,0.438540
169666,0.438540
169667,0.438540
169668,0.438540
169669,0.438540
169670,0.438540
169671,0.438540
169672,0.438540
169673,0.438540
172538,0.594305
172539,0.594305
172540,0.594305
172541,0.594305
172542,0.594305
184230,0.316606
184231,0.316606
184232,0.316606
184233,0.316606
184234,0.316606
184235,0.316606
184236,0.316606
184278,0.856498
184279,0.856498
184280,0.856498
184281,0.856498
184282,0.856498
184283,0.856498
184296,0.602763
184297,0.602763
184298,0.602763
184299,0.602763
184300,0.602763
184301,0.602763
184302,0.602763
184303,0.602763
187128,0.861573
187129,0.861573
187130,0.861573
187131,0.861573
187132,0.861573
187133,0.861573
187134,0.861573
189931,0.569213
189932,0.569213
189933,0.569213
189934,0.569213
189935,0.569213
189936,0.569213
191422,0.618551
191423,0.618551
191424,0.618551
191425,0.618551
191426,0.618551
191427,0.618551
191428,0.618551
192379,0.874824
192380,0.874824
192381,0.874824
192382,0.874824
192383,0.874824
192384,0.874824
192385,0.874824
196366,0.436002
196367,0.436002
196368,0.436002
196369,0.436002
196370,0.436002
196376,0.878630
196377,0.878630
196378,0.878630
196379,0.878630
196380,0.878630
196381,0.878630
196382,0.878630
196383,0.878630
196384,0.878630
201316,0.491683
201317,0.491683
201318,0.491683
201319,0.491683
204208,0.455596
204209,0.455596
204210,0.455596
204211,0.455596
204212,0.455596
204280,0.632083
204281,0.632083
204282,0.632083
204283,0.632083
204284,0.632083
204285,0.632083
204286,0.632083
217414,0.783902
217415,0.783902
217416,0.783902
217417,0.783902
217418,0.783902
217419,0.783902
221400,0.433042
221401,0.433042
225385,1.000000
225386,1.000000
225387,1.000000
225388,1.000000
225389,1.000000
225801,0.369890
225802,0.369890
225803,0.369890
225804,0.369890
225805,0.369890
228724,0.602058
228725,0.602058
228726,0.602058
228727,0.602058
228728,0.602058
228729,0.602058
229450,0.683676
229451,0.683676
229452,0.683676
229453,0.683676
229454,0.683676
229455,0.683676
229456,0.683676
245580,0.588385
245581,0.588385
245582,0.588385
245583,0.588385
245584,0.588385
245585,0.588385
245586,0.588385
248298,0.385678
248299,0.385678
248300,0.385678
248301,0.385678
248302,0.385678
248303,0.385678
248304,0.385678
250027,0.733719
250028,0.733719
250029,0.733719
250030,0.733719
250031,0.733719
250032,0.733719
250033,0.733719
253229,0.626445
253230,0.626445
253231,0.626445
253232,0.626445
261100,0.786298
261101,0.786298
265652,0.498590
265653,0.498590
265654,0.498590
265655,0.498590
265656,0.498590
270405,0.470538
270406,0.470538
270407,0.470538
271895,0.755709
271896,0.755709
271897,0.755709
271898,0.755709
271899,0.755709
271900,0.755709
276997,0.566535
276998,0.566535
276999,0.566535
277000,0.566535
277001,0.566535
277002,0.566535
277003,0.566535
277004,0.566535
295640,0.667465
295641,0.667465
295642,0.667465
295643,0.667465
295644,0.667465
295645,0.667465
295646,0.667465
295647,0.667465
298950,0.499154
298951,0.499154
298952,0.499154
298953,0.499154
298954,0.499154
298955,0.499154
303003,0.734705
303004,0.734705
303005,0.734705
303006,0.734705
303007,0.734705
303008,0.734705
303009,0.734705
303010,0.734705
303759,0.746264
303760,0.746264
303761,0.746264
303762,0.746264
303763,0.746264
305877,0.796307
305878,0.796307
307043,0.360023
307044,0.360023
307045,0.360023
307046,0.360023
307047,0.360023
317980,0.414576
317981,0.414576
317982,0.414576
320210,0.554553
320211,0.554553
320212,0.554553
320213,0.554553
320214,0.554553
331687,0.743586
331688,0.743586
331689,0.743586
331690,0.743586
335947,0.529321
335948,0.529321
335949,0.529321
335950,0.529321
338105,0.789540
338106,0.789540
338107,0.789540
338108,0.789540
338109,0.789540
338110,0.789540
338221,0.417818
338222,0.417818
338223,0.417818
338224,0.417818
338225,0.417818
338226,0.417818
339003,0.704116
339004,0.704116
339005,0.704116
339006,0.704116
339007,0.704116
339637,0.709473
339638,0.709473
339639,0.709473
339640,0.709473
339641,0.709473
343170,0.846349
343171,0.846349
343172,0.846349
343173,0.846349
343174,0.846349
343175,0.846349
343176,0.846349
343177,0.846349
343946,0.806738
343947,0.806738
343948,0.806738
343949,0.806738
343950,0.806738
344679,0.556527
344680,0.556527
344681,0.556527
344682,0.556527
344683,0.556527
344684,0.556527
352473,0.927967
352474,0.927967
352475,0.927967
352476,0.927967
357770,0.667184
357771,0.667184
357772,0.667184
362594,0.576262
362595,0.576262
362596,0.576262
362597,0.576262
362598,0.576262
362599,0.576262
362600,0.576262
363235,0.874401
363236,0.874401
363237,0.874401
363238,0.874401
363972,0.757824
363973,0.757824
363974,0.757824
363975,0.757824
363976,0.757824
363977,0.757824
363978,0.757824
363979,0.757824
365110,0.691993
365111,0.691993
365112,0.691993
365113,0.691993
365114,0.691993
365115,0.691993
375086,0.675500
375087,0.675500
375088,0.675500
375089,0.675500
375090,0.675500
375091,0.675500
377204,0.408373
377205,0.408373
379704,0.522977
379705,0.522977
379706,0.522977
380105,0.650127
380106,0.650127
380107,0.650127
380108,0.650127
380109,0.650127
380110,0.650127
380111,0.650127
380112,0.650127
380113,0.650127
380114,0.650127
382205,0.598534
382206,0.598534
382207,0.598534
382208,0.598534
382707,0.604314
382708,0.604314
382709,0.604314
382710,0.604314
405050,0.305328
405051,0.305328
405052,0.305328
405053,0.305328
410912,0.577530
410913,0.577530
410914,0.577530
410915,0.577530
410916,0.577530
