Dependency=Location Region,Dependency=Vintage,Dependency=Heating Fuel,Dependency=HVAC System Is Combined,None,"FIXME ASHP, SEER 10, 6.2 HSPF","FIXME ASHP, SEER 13, 7.7 HSPF","FIXME ASHP, SEER 14, 8.2 HSPF","ASHP, SEER 17, 8.7 HSPF","ASHP, SEER 18, 9.3 HSPF","FIXME MSHP, SEER 18, 9.6 HSPF, 60% Conditioned",# Samples
H1C1 OR,pre-1950,Electricity,Yes,0.0,0.0,0.0,0.09782608695652174,0.8260869565217391,0.0,0.07608695652173914,92
H1C1 OR,1950s,Electricity,Yes,0.0,0.0,0.25925925925925924,0.0,0.4074074074074074,0.0,0.3333333333333333,27
H1C1 OR,1960s,Electricity,Yes,0.0,0.0,0.6396396396396397,0.0,0.21621621621621623,0.0,0.14414414414414414,111
H1C1 OR,1970s,Electricity,Yes,0.0,0.05202312138728324,0.7456647398843931,0.0,0.09248554913294797,0.06358381502890173,0.046242774566473986,173
H1C1 OR,1980s,Electricity,Yes,0.0,0.0,0.2413793103448276,0.0,0.0,0.0,0.7586206896551724,29
H1C1 OR,1990s,Electricity,Yes,0.0,0.15384615384615385,0.34615384615384615,0.2692307692307692,0.0,0.0,0.23076923076923078,52
H1C1 OR,2000s,Electricity,Yes,0.0,0.08064516129032258,0.04838709677419355,0.46774193548387094,0.0,0.0,0.4032258064516129,62
H1C1 OR,2010s,Electricity,Yes,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3
H1C1 WA,pre-1950,Electricity,Yes,0.0,0.0,0.2682926829268293,0.0,0.3353658536585366,0.0,0.39634146341463417,164
H1C1 WA,1950s,Electricity,Yes,0.0,0.0,0.0,0.4153846153846154,0.0,0.0,0.5846153846153846,65
H1C1 WA,1960s,Electricity,Yes,0.0,0.0,0.3505747126436782,0.028735632183908046,0.14942528735632185,0.3735632183908046,0.09770114942528736,174
H1C1 WA,1970s,Electricity,Yes,0.0,0.0,0.2624113475177305,0.09574468085106383,0.24113475177304963,0.13829787234042554,0.2624113475177305,282
H1C1 WA,1980s,Electricity,Yes,0.0,0.0708955223880597,0.6716417910447762,0.04477611940298507,0.1828358208955224,0.0,0.029850746268656716,268
H1C1 WA,1990s,Electricity,Yes,0.0,0.18493150684931506,0.2671232876712329,0.3082191780821918,0.0,0.23972602739726026,0.0,146
H1C1 WA,2000s,Electricity,Yes,0.0,0.44642857142857145,0.19642857142857142,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.0,112
H1C1 WA,2010s,Electricity,Yes,0,0,0,0,0,0,0,0
H1C2,pre-1950,Electricity,Yes,0,0,0,0,0,0,0,0
H1C2,1950s,Electricity,Yes,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15
H1C2,1960s,Electricity,Yes,0.0,0.0,1.0,0.0,0.0,0.0,0.0,27
H1C2,1970s,Electricity,Yes,0.0,0.0,0.0,0.6666666666666666,0.15476190476190477,0.17857142857142858,0.0,84
H1C2,1980s,Electricity,Yes,0,0,0,0,0,0,0,0
H1C2,1990s,Electricity,Yes,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34
H1C2,2000s,Electricity,Yes,0,0,0,0,0,0,0,0
H1C2,2010s,Electricity,Yes,0,0,0,0,0,0,0,0
H1C3,pre-1950,Electricity,Yes,0.0,0.0,0.37254901960784315,0.0,0.6274509803921569,0.0,0.0,51
H1C3,1950s,Electricity,Yes,0,0,0,0,0,0,0,0
H1C3,1960s,Electricity,Yes,0.0,0.0,0.8928571428571429,0.10714285714285714,0.0,0.0,0.0,28
H1C3,1970s,Electricity,Yes,0.0,0.12264150943396226,0.0,0.04716981132075472,0.22641509433962265,0.6037735849056604,0.0,106
H1C3,1980s,Electricity,Yes,0,0,0,0,0,0,0,0
H1C3,1990s,Electricity,Yes,0.0,0.0,0.4473684210526316,0.0,0.2631578947368421,0.2894736842105263,0.0,38
H1C3,2000s,Electricity,Yes,0.0,0.2727272727272727,0.21818181818181817,0.14545454545454545,0.09090909090909091,0.2727272727272727,0.0,55
H1C3,2010s,Electricity,Yes,0,0,0,0,0,0,0,0
H2,pre-1950,Electricity,Yes,0.0,0.3625,0.1875,0.125,0.1625,0.0,0.1625,80
H2,1950s,Electricity,Yes,0.0,0.0,0.40540540540540543,0.24324324324324326,0.0,0.35135135135135137,0.0,74
H2,1960s,Electricity,Yes,0,0,0,0,0,0,0,0
H2,1970s,Electricity,Yes,0.0,0.0,1.0,0.0,0.0,0.0,0.0,65
H2,1980s,Electricity,Yes,0,0,0,0,0,0,0,0
H2,1990s,Electricity,Yes,0.0,0.08602150537634409,0.0967741935483871,0.4946236559139785,0.23655913978494625,0.08602150537634409,0.0,93
H2,2000s,Electricity,Yes,0.0,0.32608695652173914,0.21739130434782608,0.45652173913043476,0.0,0.0,0.0,46
H2,2010s,Electricity,Yes,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15
H3,pre-1950,Electricity,Yes,0,0,0,0,0,0,0,0
H3,1950s,Electricity,Yes,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10
H3,1960s,Electricity,Yes,0,0,0,0,0,0,0,0
