Dependency=Location Region,Dependency=Vintage,"Clear, Single, Metal","Clear, Single, Non-metal","Clear, Double, Metal, Air","Clear, Double, Non-metal, Air","Clear, Double, Thermal-Break, Air","Low-E, Double, Non-metal, Air, M-Gain","Low-E, Triple, Non-metal, Air, L-Gain",# Samples
H1C1 OR,pre-1950,0.027522935779816515,0.05504587155963303,0.013761467889908258,0.3853211009174312,0.13302752293577982,0.3532110091743119,0.03211009174311927,218
H1C1 OR,1950s,0.0,0.0,0.007692307692307693,0.7692307692307693,0.1076923076923077,0.11538461538461539,0.0,130
H1C1 OR,1960s,0.10894941634241245,0.0038910505836575876,0.08949416342412451,0.31906614785992216,0.08171206225680934,0.3968871595330739,0.0,257
H1C1 OR,1970s,0.03125,0.0078125,0.1875,0.32421875,0.1953125,0.25390625,0.0,256
H1C1 OR,1980s,0.0,0.0,0.4318181818181818,0.25,0.05303030303030303,0.26515151515151514,0.0,132
H1C1 OR,1990s,0.0,0.0,0.0,0.4819277108433735,0.0,0.5180722891566265,0.0,249
H1C1 OR,2000s,0.0,0.0,0.0,0.28654970760233917,0.0,0.7134502923976608,0.0,171
H1C1 OR,2010s,0.0,0.0,0.0,0.0,0.0,1.0,0.0,38
H1C1 WA,pre-1950,0.03346456692913386,0.2234251968503937,0.08366141732283465,0.41338582677165353,0.0797244094488189,0.16633858267716536,0.0,1016
H1C1 WA,1950s,0.06925207756232687,0.05263157894736842,0.2409972299168975,0.4626038781163435,0.0332409972299169,0.14127423822714683,0.0,361
H1C1 WA,1960s,0.070298769771529,0.0421792618629174,0.15114235500878734,0.3602811950790861,0.0773286467486819,0.27943760984182775,0.019332161687170474,569
H1C1 WA,1970s,0.022071307300509338,0.0,0.27164685908319186,0.42105263157894735,0.06112054329371817,0.20882852292020374,0.015280135823429542,589
H1C1 WA,1980s,0.0019342359767891683,0.0019342359767891683,0.32495164410058025,0.4912959381044487,0.0,0.17408123791102514,0.005802707930367505,517
H1C1 WA,1990s,0.0,0.03655352480417755,0.033942558746736295,0.4308093994778068,0.015665796344647518,0.4830287206266319,0.0,383
H1C1 WA,2000s,0.0,0.0,0.05531914893617021,0.39574468085106385,0.0,0.548936170212766,0.0,470
H1C1 WA,2010s,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14
H1C2,pre-1950,0.002331002331002331,0.07925407925407925,0.0,0.3543123543123543,0.3682983682983683,0.1958041958041958,0.0,429
H1C2,1950s,0.0,0.10714285714285714,0.0,0.36904761904761907,0.0,0.5238095238095238,0.0,84
H1C2,1960s,0.03202846975088968,0.014234875444839857,0.0071174377224199285,0.3096085409252669,0.0,0.5622775800711743,0.07473309608540925,281
H1C2,1970s,0.08284023668639054,0.0,0.25443786982248523,0.08875739644970414,0.08284023668639054,0.4911242603550296,0.0,169
H1C2,1980s,0.0,0.0,0.10179640718562874,0.49101796407185627,0.041916167664670656,0.3652694610778443,0.0,167
H1C2,1990s,0.0,0.0,0.0,0.6727272727272727,0.0,0.32727272727272727,0.0,110
H1C2,2000s,0.0,0.0,0.0,0.39655172413793105,0.0,0.603448275862069,0.0,58
H1C2,2010s,0,0,0,0,0,0,0,0
H1C3,pre-1950,0.03773584905660377,0.11320754716981132,0.08490566037735849,0.4056603773584906,0.24528301886792453,0.11320754716981132,0.0,106
H1C3,1950s,0.0,0.0,0.04,0.13,0.18,0.65,0.0,100
H1C3,1960s,0.03508771929824561,0.0,0.08771929824561403,0.42105263157894735,0.017543859649122806,0.43859649122807015,0.0,57
H1C3,1970s,0.0273224043715847,0.00546448087431694,0.31693989071038253,0.24043715846994534,0.1092896174863388,0.3005464480874317,0.0,183
H1C3,1980s,0.0,0.0,0.12857142857142856,0.6285714285714286,0.0,0.24285714285714285,0.0,70
H1C3,1990s,0.0,0.0,0.0,0.43478260869565216,0.0,0.5652173913043478,0.0,138
H1C3,2000s,0.0,0.0,0.0,0.7725631768953068,0.0,0.22743682310469315,0.0,277
H1C3,2010s,0,0,0,0,0,0,0,0
H2,pre-1950,0.013333333333333334,0.09,0.10666666666666667,0.2833333333333333,0.37,0.13666666666666666,0.0,300
H2,1950s,0.0045662100456621,0.0228310502283105,0.0730593607305936,0.4977168949771689,0.1552511415525114,0.2465753424657534,0.0,219
H2,1960s,0.010101010101010102,0.010101010101010102,0.18181818181818182,0.7070707070707071,0.050505050505050504,0.04040404040404041,0.0,99
H2,1970s,0.0,0.014705882352941176,0.23161764705882354,0.41911764705882354,0.007352941176470588,0.3272058823529412,0.0,272
H2,1980s,0.08695652173913043,0.0,0.30434782608695654,0.30434782608695654,0.043478260869565216,0.2608695652173913,0.0,92
H2,1990s,0.0,0.0,0.0,0.5539358600583091,0.01749271137026239,0.33527696793002915,0.09329446064139942,343
H2,2000s,0.0,0.0,0.0,0.5680933852140078,0.0,0.377431906614786,0.054474708171206226,257
H2,2010s,0.0,0.0,0.0,0.11538461538461539,0.0,0.8846153846153846,0.0,26
H3,pre-1950,0.03278688524590164,0.060109289617486336,0.03825136612021858,0.24043715846994534,0.1912568306010929,0.3879781420765027,0.04918032786885246,183
H3,1950s,0.0,0.0375,0.125,0.4375,0.05,0.35,0.0,80
H3,1960s,0.0,0.0,0.09473684210526316,0.5263157894736842,0.12631578947368421,0.25263157894736843,0.0,95
H3,1970s,0.0,0.0,0.006802721088435374,0.3945578231292517,0.034013605442176874,0.4897959183673469,0.07482993197278912,147
H3,1980s,0.0,0.0,0.0,0.4430379746835443,0.06329113924050633,0.4936708860759494,0.0,79
H3,1990s,0.0,0.0,0.0,0.3211009174311927,0.0,0.6788990825688074,0.0,109
H3,2000s,0.0,0.0,0.0,0.3793103448275862,0.0,0.6206896551724138,0.0,87
H3,2010s,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13
